19:12, Friday, January 18, 2019
Study name:Static 2 hex compression
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
49  ,-3.19137e-007  ,8.83025e-008  ,1.41554e-007  ,-2.22128e-008  ,1.11315e-006  ,1.66322e-008
50  ,-2.95411e-006  ,9.68760e-007  ,9.90355e-007  ,-8.36231e-008  ,1.37873e-006  ,-3.05250e-008
51  ,-5.64441e-006  ,1.83687e-006  ,1.95798e-006  ,-1.04914e-007  ,1.09271e-006  ,-1.87379e-008
52  ,-8.14869e-006  ,2.72541e-006  ,2.57211e-006  ,-8.09644e-008  ,9.62234e-007  ,-2.57349e-008
53  ,-6.92990e-006  ,2.35797e-006  ,2.39782e-006  ,9.42947e-008  ,9.58583e-007  ,-3.21612e-008
54  ,-8.57021e-006  ,2.80250e-006  ,2.91940e-006  ,1.23454e-008  ,7.73462e-007  ,3.59269e-008
55  ,-6.27744e-006  ,2.10007e-006  ,1.93224e-006  ,2.12643e-008  ,8.95455e-007  ,-2.17961e-008
56  ,-8.61475e-006  ,2.82221e-006  ,2.90123e-006  ,-1.54759e-007  ,7.47487e-007  ,3.62853e-008
57  ,-3.20961e-006  ,1.05897e-006  ,1.06052e-006  ,1.42712e-009  ,-6.61806e-009  ,4.40926e-010
58  ,-1.87849e-006  ,5.65256e-007  ,7.02246e-007  ,-1.27254e-008  ,-1.08644e-006  ,1.40628e-009
59  ,-2.06117e-006  ,7.53255e-007  ,5.02618e-007  ,-2.78700e-008  ,-2.10283e-006  ,-1.74174e-009
60  ,-8.31585e-009  ,-3.82796e-009  ,1.64448e-008  ,-2.15240e-009  ,-1.23761e-008  ,1.23754e-009
61  ,-1.58065e-006  ,7.25791e-007  ,1.00947e-007  ,1.23540e-008  ,-3.62006e-006  ,-1.34204e-008
62  ,-9.11322e-007  ,2.68158e-007  ,2.31700e-007  ,1.68603e-007  ,3.81779e-006  ,6.61776e-008
63  ,-7.19932e-006  ,2.41114e-006  ,2.24892e-006  ,4.75872e-008  ,-1.45267e-006  ,-6.97668e-008
64  ,-2.70379e-006  ,8.86467e-007  ,8.17407e-007  ,-6.45223e-008  ,-9.05053e-007  ,4.77518e-008
65  ,-3.53522e-006  ,1.09116e-006  ,1.22931e-006  ,-3.47004e-008  ,-1.30161e-006  ,4.13371e-008
66  ,-3.05694e-006  ,9.93674e-007  ,1.04627e-006  ,-6.08468e-008  ,-2.18848e-006  ,-3.27105e-008
67  ,-2.69944e-007  ,6.93482e-008  ,1.83724e-007  ,-2.98258e-008  ,-3.67716e-006  ,7.75756e-008
68  ,8.85350e-007  ,-2.99084e-007  ,-1.85188e-007  ,2.78245e-008  ,1.81644e-006  ,4.05469e-008
69  ,3.38879e-009  ,-1.33164e-009  ,1.80996e-009  ,-2.71625e-009  ,9.98293e-009  ,-1.62315e-010
70  ,-3.90980e-006  ,1.27540e-006  ,1.33155e-006  ,-6.70874e-008  ,5.52538e-008  ,-9.56931e-009
71  ,-8.64552e-007  ,-2.16653e-006  ,5.39412e-006  ,-5.78367e-008  ,6.62216e-006  ,-1.36422e-009
72  ,-3.81075e-006  ,1.22478e-006  ,1.32949e-006  ,8.53029e-008  ,-5.89086e-008  ,1.45541e-008
73  ,1.35770e-006  ,-4.15950e-007  ,-2.62309e-007  ,3.40553e-008  ,-2.79990e-006  ,-4.76842e-008
74  ,-4.80743e-006  ,1.52854e-006  ,1.65162e-006  ,-2.75958e-008  ,-6.27928e-008  ,1.50454e-008
75  ,2.76984e-007  ,-9.43209e-008  ,-1.64519e-008  ,2.49342e-008  ,3.08645e-006  ,-2.03069e-008
76  ,-3.36988e-006  ,1.01307e-006  ,1.23533e-006  ,1.61263e-007  ,1.47403e-006  ,-2.68860e-008
77  ,-1.40142e-006  ,2.39662e-006  ,-3.15676e-006  ,-2.39112e-007  ,2.49529e-006  ,1.79495e-007
78  ,1.87942e-006  ,-2.87230e-007  ,-1.30617e-006  ,-9.65519e-008  ,4.34148e-007  ,3.03963e-008
79  ,2.34455e-007  ,6.05894e-008  ,-4.00499e-007  ,-7.89878e-009  ,8.04871e-007  ,-6.79343e-008
80  ,-6.18513e-006  ,2.04279e-006  ,2.04171e-006  ,2.37324e-009  ,1.32212e-007  ,5.29576e-009
81  ,-1.57328e-006  ,-3.47153e-006  ,8.79888e-006  ,-1.06447e-007  ,1.03047e-005  ,-4.82220e-008
82  ,-1.83709e-006  ,1.70479e-006  ,-1.48943e-006  ,3.35439e-008  ,5.33190e-006  ,-1.32924e-007
83  ,-3.72616e-006  ,3.02921e-006  ,-2.54118e-006  ,-1.64834e-006  ,3.60023e-006  ,-7.46641e-008
84  ,-2.01289e-006  ,5.77312e-010  ,1.99506e-006  ,-8.01078e-008  ,-2.51465e-006  ,-3.05860e-007
85  ,-3.29571e-006  ,1.07254e-006  ,1.07602e-006  ,-2.63902e-008  ,4.18120e-007  ,1.30863e-008
86  ,4.16144e-007  ,-1.84604e-006  ,3.35910e-006  ,-6.13213e-008  ,1.91296e-006  ,1.02708e-007
87  ,-5.17702e-006  ,1.90992e-006  ,1.17895e-006  ,-2.37884e-009  ,1.37578e-006  ,-7.72044e-008
88  ,-5.60390e-006  ,2.49332e-006  ,7.65454e-007  ,-7.61718e-007  ,2.44203e-006  ,5.71311e-007
89  ,-1.10041e-005  ,3.55588e-006  ,3.66071e-006  ,7.67250e-008  ,-1.54130e-006  ,2.06357e-008
90  ,-8.91978e-007  ,-1.41720e-007  ,1.01489e-006  ,7.91838e-008  ,5.72401e-007  ,-1.27560e-007
91  ,-7.34783e-006  ,2.40964e-006  ,2.36418e-006  ,-5.61439e-008  ,-1.87356e-006  ,-2.71176e-008
92  ,-4.43269e-006  ,1.45046e-006  ,1.42836e-006  ,6.53672e-008  ,6.27551e-007  ,3.56914e-008
93  ,-6.72802e-006  ,2.17718e-006  ,2.31011e-006  ,1.21697e-007  ,1.12701e-006  ,3.05613e-008
94  ,-1.20024e-005  ,3.92822e-006  ,3.97822e-006  ,-4.64688e-008  ,7.59620e-007  ,3.02503e-008
95  ,-2.37624e-006  ,7.99413e-007  ,7.86280e-007  ,-4.62105e-008  ,3.65465e-007  ,-2.22092e-008
96  ,-2.24807e-006  ,7.81150e-007  ,7.00885e-007  ,1.88969e-008  ,3.31532e-007  ,2.54595e-008
97  ,-2.08107e-007  ,-8.07688e-008  ,3.21291e-007  ,4.82161e-008  ,1.62511e-007  ,7.42422e-008
98  ,-2.60847e-007  ,-1.42922e-007  ,5.66681e-007  ,3.06861e-008  ,3.56609e-007  ,5.55887e-008
99  ,-2.67297e-007  ,-2.23914e-007  ,7.18565e-007  ,1.40671e-008  ,4.88620e-007  ,8.37462e-008
100  ,8.51316e-008  ,4.30861e-008  ,1.69385e-007  ,1.70674e-008  ,-2.75248e-006  ,7.41872e-008
101  ,-9.17791e-006  ,3.02591e-006  ,3.00560e-006  ,-2.57229e-007  ,-1.14382e-006  ,1.90118e-008
102  ,-2.36652e-006  ,7.15371e-007  ,8.00763e-007  ,-9.50543e-008  ,-2.10408e-006  ,-1.27582e-008
103  ,-1.71082e-007  ,2.10173e-007  ,-1.94483e-007  ,-1.90841e-008  ,-2.81330e-006  ,-8.93434e-008
104  ,-1.05162e-006  ,3.44826e-007  ,2.32978e-007  ,1.77463e-007  ,2.84036e-006  ,-2.83673e-007
105  ,-1.65640e-006  ,-4.31675e-006  ,1.02700e-005  ,-1.24498e-007  ,-8.35614e-006  ,-1.54486e-006
