18:48, Friday, January 18, 2019
Study name:Static 2 Square Diamond Compression
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
48  ,-2.66085e-006  ,5.15059e-007  ,1.57590e-006  ,-5.16661e-008  ,1.94082e-006  ,7.18705e-009
49  ,-2.64350e-006  ,5.47603e-007  ,1.53183e-006  ,-4.71270e-009  ,1.89516e-006  ,-8.28676e-009
50  ,-1.34900e-006  ,8.13980e-008  ,1.29059e-006  ,-3.05849e-008  ,3.23859e-007  ,-2.59714e-008
51  ,-2.00048e-006  ,1.44887e-006  ,-9.23016e-007  ,-1.48570e-007  ,-5.54006e-006  ,-1.41757e-007
52  ,-1.41646e-006  ,1.19122e-006  ,-1.06897e-006  ,-1.44766e-008  ,4.81985e-006  ,-3.40052e-009
53  ,-5.23191e-007  ,3.57518e-007  ,-2.45852e-007  ,4.73034e-008  ,-1.47361e-006  ,3.96999e-008
54  ,-1.32000e-006  ,1.09578e-006  ,-8.90938e-007  ,-3.51085e-008  ,4.38138e-006  ,5.80838e-008
55  ,1.31568e-006  ,-1.13106e-006  ,1.01251e-006  ,4.60349e-009  ,4.53858e-006  ,-1.65724e-008
56  ,4.80181e-008  ,-2.46091e-007  ,4.67608e-007  ,-5.15918e-008  ,1.15450e-006  ,-5.20086e-008
57  ,-1.94936e-006  ,1.67201e-006  ,-1.43594e-006  ,7.42807e-008  ,-6.59331e-006  ,7.16522e-008
58  ,6.84773e-007  ,-7.90660e-007  ,9.12246e-007  ,-1.02640e-008  ,3.11014e-006  ,-6.41879e-010
59  ,7.39732e-007  ,-8.43039e-007  ,9.75897e-007  ,4.26498e-009  ,3.26945e-006  ,-1.69589e-008
60  ,6.97823e-007  ,-8.15579e-007  ,9.54466e-007  ,-4.96588e-009  ,3.30590e-006  ,-2.64838e-008
61  ,1.07932e-006  ,-1.06239e-006  ,1.07812e-006  ,-1.26335e-009  ,-4.28290e-006  ,1.32133e-009
62  ,-1.25341e-006  ,1.01715e-006  ,-8.19990e-007  ,-3.16449e-008  ,-4.18406e-006  ,-3.62984e-008
63  ,-1.06733e-006  ,7.80615e-007  ,-4.75965e-007  ,-7.27785e-008  ,3.13002e-006  ,5.98889e-008
64  ,5.34055e-007  ,-5.24047e-007  ,5.28794e-007  ,2.23127e-010  ,-2.11041e-006  ,1.09230e-010
65  ,1.40247e-006  ,-1.49341e-006  ,1.61413e-006  ,-3.28654e-008  ,-6.01522e-006  ,3.36775e-008
66  ,1.02271e-006  ,-1.24259e-006  ,1.49880e-006  ,-5.35606e-008  ,-4.95664e-006  ,-1.96507e-008
67  ,-1.24384e-006  ,1.07978e-006  ,-9.42886e-007  ,-1.91853e-008  ,-4.29220e-006  ,-1.95072e-008
68  ,5.99382e-007  ,-6.40309e-007  ,6.99560e-007  ,1.38790e-008  ,-2.60872e-006  ,-1.48316e-008
69  ,-1.06811e-006  ,1.04219e-006  ,-1.04373e-006  ,-9.98435e-009  ,4.22007e-006  ,8.38762e-009
70  ,3.81877e-007  ,-5.75880e-007  ,7.85985e-007  ,3.26471e-008  ,-2.18759e-006  ,-1.59669e-008
71  ,-2.20644e-006  ,1.84678e-006  ,-1.56016e-006  ,3.54232e-008  ,-7.54619e-006  ,5.03141e-008
72  ,-2.22879e-006  ,1.85833e-006  ,-1.55202e-006  ,-5.32842e-008  ,-7.55403e-006  ,-5.46842e-008
73  ,-1.57092e-006  ,1.17074e-006  ,-8.12238e-007  ,-1.42008e-008  ,-4.63556e-006  ,-3.23761e-008
74  ,6.58298e-007  ,-8.83812e-007  ,1.14989e-006  ,2.70040e-008  ,-3.64157e-006  ,-4.28614e-008
75  ,-2.24327e-006  ,1.83848e-006  ,-1.48743e-006  ,-5.91797e-008  ,-7.53744e-006  ,-4.49012e-009
76  ,-6.46965e-007  ,3.45031e-007  ,-1.15731e-007  ,-1.84163e-008  ,-1.49430e-006  ,-1.97086e-008
77  ,-8.51976e-007  ,4.34885e-007  ,-3.29266e-008  ,-3.72045e-008  ,-1.81226e-006  ,-4.62539e-008
78  ,-2.23924e-006  ,1.91454e-006  ,-1.67156e-006  ,-5.03080e-009  ,-7.81106e-006  ,-1.76297e-008
79  ,-1.39393e-006  ,1.08235e-006  ,-7.96949e-007  ,-5.11681e-008  ,-4.41271e-006  ,-1.24703e-008
80  ,-1.32091e-006  ,1.00965e-006  ,-7.49101e-007  ,-6.17331e-009  ,-4.06393e-006  ,-1.04256e-008
81  ,1.13502e-006  ,-1.10463e-006  ,1.10794e-006  ,-2.27145e-009  ,4.45633e-006  ,-2.42604e-009
82  ,-2.23571e-006  ,2.18960e-006  ,-2.20813e-006  ,-4.34316e-010  ,8.82631e-006  ,-4.78358e-010
83  ,-1.22140e-006  ,1.16344e-006  ,-1.11366e-006  ,-1.02393e-008  ,-4.66277e-006  ,-1.21557e-008
84  ,-1.33940e-006  ,1.24125e-006  ,-1.16052e-006  ,-6.19221e-009  ,-5.02834e-006  ,-8.55110e-011
85  ,-1.44032e-006  ,1.23198e-006  ,-1.07701e-006  ,3.80865e-008  ,-5.09842e-006  ,3.97695e-008
86  ,3.09110e-009  ,5.26908e-009  ,-1.49384e-008  ,3.82672e-010  ,1.56654e-008  ,-1.65450e-010
87  ,1.53337e-008  ,2.52931e-008  ,-6.97929e-008  ,-5.20457e-009  ,8.85110e-008  ,1.36453e-008
88  ,-1.30369e-006  ,1.12722e-006  ,-9.71497e-007  ,-6.18703e-009  ,4.52470e-006  ,-1.64028e-008
89  ,-1.38257e-006  ,1.16475e-006  ,-9.77154e-007  ,1.47752e-008  ,4.70913e-006  ,-2.12056e-008
90  ,5.79984e-007  ,-8.05613e-007  ,9.87411e-007  ,-1.10373e-010  ,-3.12766e-006  ,2.58891e-008
91  ,1.10390e-006  ,-1.19761e-006  ,1.36058e-006  ,4.50993e-008  ,-4.93594e-006  ,-3.23591e-008
92  ,6.79188e-007  ,-8.98651e-007  ,1.05394e-006  ,5.44697e-009  ,-3.57800e-006  ,2.12763e-008
93  ,7.19384e-007  ,-8.52083e-007  ,1.01654e-006  ,1.06812e-008  ,-3.48667e-006  ,-2.99425e-008
94  ,8.70367e-007  ,-1.08723e-006  ,1.27433e-006  ,-2.95214e-010  ,-4.27679e-006  ,-6.88322e-009
95  ,1.19238e-006  ,-1.27838e-006  ,1.40604e-006  ,-1.80063e-008  ,-5.18870e-006  ,8.13683e-009
96  ,4.69687e-007  ,-9.37863e-007  ,1.45229e-006  ,-5.08308e-008  ,3.85284e-006  ,-7.85036e-009
97  ,-1.41036e-006  ,7.48741e-007  ,-1.23525e-007  ,2.44888e-008  ,-2.93523e-006  ,3.72441e-009
98  ,-2.17610e-007  ,-3.76496e-007  ,1.01255e-006  ,-3.40840e-008  ,1.67262e-006  ,5.16310e-008
99  ,-2.36656e-006  ,1.69780e-006  ,-1.19409e-006  ,8.07713e-009  ,-6.87304e-006  ,-7.15522e-008
100  ,-2.14459e-006  ,1.36881e-006  ,-6.68615e-007  ,-5.30277e-008  ,-5.44112e-006  ,5.59520e-008
101  ,-2.35672e-006  ,1.76109e-006  ,-1.24265e-006  ,6.76630e-008  ,-7.14843e-006  ,2.48177e-008
102  ,-1.30500e-006  ,1.16879e-006  ,-1.10182e-006  ,-2.26602e-008  ,4.77856e-006  ,4.09091e-008
103  ,-1.34413e-006  ,1.24646e-006  ,-1.17116e-006  ,7.23784e-009  ,5.03182e-006  ,-1.16967e-008
104  ,-1.31570e-006  ,1.14442e-006  ,-1.01668e-006  ,4.12012e-008  ,4.66950e-006  ,-2.90564e-008
105  ,-1.25868e-006  ,1.05247e-006  ,-8.86569e-007  ,1.85166e-008  ,4.26600e-006  ,-1.86937e-008
106  ,-1.23589e-006  ,1.07156e-006  ,-9.45015e-007  ,-2.34017e-008  ,4.41579e-006  ,1.40100e-008
107  ,-1.24909e-006  ,1.07096e-006  ,-9.39391e-007  ,4.34415e-008  ,4.42108e-006  ,-4.25262e-008
108  ,1.07492e-006  ,-9.41850e-007  ,8.69699e-007  ,1.22618e-008  ,-3.52077e-006  ,5.06385e-008
109  ,8.92733e-007  ,-9.10868e-007  ,9.57403e-007  ,6.53019e-009  ,-3.66550e-006  ,7.92629e-009
110  ,9.02069e-007  ,-9.41249e-007  ,1.01515e-006  ,1.77745e-008  ,-3.60486e-006  ,4.51601e-008
111  ,8.06206e-007  ,-1.04551e-006  ,1.20528e-006  ,3.75020e-008  ,-3.33690e-006  ,1.53364e-008
112  ,9.72225e-007  ,-9.38912e-007  ,9.09581e-007  ,-2.48964e-008  ,-3.65317e-006  ,5.83500e-009
113  ,8.93692e-007  ,-9.28729e-007  ,9.86176e-007  ,1.88270e-008  ,-3.67493e-006  ,6.25159e-009
