18:48, Friday, January 18, 2019
Study name:Static 2 Square Diamond Compression
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
72  ,2.54988e-004  ,6.24687e-007  ,-2.70683e-004  ,3.71872e-004
73  ,2.76754e-004  ,8.60684e-007  ,-2.30210e-004  ,3.59986e-004
74  ,2.89073e-004  ,6.77226e-007  ,-1.92569e-004  ,3.47342e-004
75  ,2.84881e-004  ,1.37313e-007  ,-1.61073e-004  ,3.27264e-004
76  ,2.22235e-004  ,-7.38444e-007  ,-1.30774e-004  ,2.57858e-004
77  ,1.23770e-004  ,-1.60334e-006  ,-1.13859e-004  ,1.68183e-004
78  ,7.85977e-005  ,-2.31525e-006  ,-9.78342e-005  ,1.25517e-004
79  ,4.70384e-005  ,-3.01793e-006  ,-7.69661e-005  ,9.02524e-005
80  ,2.61070e-005  ,-3.96300e-006  ,-5.37355e-005  ,5.98730e-005
81  ,5.71062e-006  ,-2.25807e-006  ,1.32446e-006  ,6.28205e-006
82  ,9.55921e-006  ,-2.86536e-006  ,-1.35322e-005  ,1.68139e-005
83  ,1.70446e-005  ,-2.48739e-006  ,-3.43867e-005  ,3.84598e-005
84  ,2.30543e-005  ,-1.80915e-006  ,-5.84825e-005  ,6.28886e-005
85  ,3.25519e-005  ,-1.01323e-006  ,-8.06803e-005  ,8.70055e-005
86  ,5.84402e-005  ,-7.85808e-007  ,-9.65256e-005  ,1.12841e-004
87  ,1.10904e-004  ,-9.25262e-007  ,-1.07790e-004  ,1.54658e-004
88  ,1.72432e-004  ,-1.41953e-006  ,-1.17694e-004  ,2.08774e-004
89  ,2.33267e-004  ,-1.97951e-006  ,-1.37076e-004  ,2.70569e-004
90  ,2.81737e-004  ,-2.16850e-006  ,-1.76453e-004  ,3.32439e-004
91  ,3.04347e-004  ,-2.47426e-006  ,-2.25968e-004  ,3.79071e-004
92  ,3.09939e-004  ,-2.91297e-006  ,-2.81511e-004  ,4.18711e-004
93  ,3.05474e-004  ,-3.64511e-006  ,-3.37518e-004  ,4.55243e-004
94  ,2.94860e-004  ,-1.29569e-006  ,-3.96806e-004  ,4.94368e-004
95  ,3.29073e-004  ,4.64367e-006  ,-4.53622e-004  ,5.60432e-004
96  ,3.48738e-004  ,3.84783e-006  ,-4.96887e-004  ,6.07066e-004
97  ,3.63290e-004  ,3.42537e-006  ,-5.35471e-004  ,6.47086e-004
98  ,3.67821e-004  ,2.95867e-006  ,-5.66047e-004  ,6.75063e-004
99  ,3.55982e-004  ,2.16515e-006  ,-5.83170e-004  ,6.83239e-004
100  ,3.34101e-004  ,1.19516e-006  ,-5.81000e-004  ,6.70214e-004
101  ,3.15959e-004  ,1.33486e-007  ,-5.72872e-004  ,6.54227e-004
102  ,3.14788e-004  ,-1.09985e-006  ,-5.72204e-004  ,6.53077e-004
103  ,3.31186e-004  ,-1.81092e-006  ,-5.83138e-004  ,6.70624e-004
104  ,3.57697e-004  ,-2.58086e-006  ,-6.02059e-004  ,7.00306e-004
105  ,3.88932e-004  ,-2.92671e-006  ,-6.26025e-004  ,7.37010e-004
106  ,4.15291e-004  ,-5.21795e-006  ,-6.46995e-004  ,7.68828e-004
107  ,4.38971e-004  ,-4.94506e-006  ,-6.01890e-004  ,7.44978e-004
108  ,4.65867e-004  ,-4.43249e-006  ,-5.51414e-004  ,7.21879e-004
109  ,4.92437e-004  ,-4.08157e-006  ,-4.95154e-004  ,6.98346e-004
110  ,5.15861e-004  ,-3.68113e-006  ,-4.33520e-004  ,6.73843e-004
111  ,5.32836e-004  ,-3.07704e-006  ,-3.59422e-004  ,6.42735e-004
112  ,5.33386e-004  ,-2.48636e-006  ,-2.99059e-004  ,6.11509e-004
113  ,5.21166e-004  ,-1.85348e-006  ,-2.48964e-004  ,5.77582e-004
114  ,4.99956e-004  ,-1.12325e-006  ,-2.05251e-004  ,5.40449e-004
115  ,4.81751e-004  ,-5.29208e-007  ,-1.76592e-004  ,5.13098e-004
116  ,4.66192e-004  ,-2.73559e-008  ,-1.53821e-004  ,4.90914e-004
117  ,4.53315e-004  ,4.35767e-007  ,-1.36629e-004  ,4.73458e-004
118  ,4.34900e-004  ,-8.66081e-007  ,-1.26180e-004  ,4.52835e-004
119  ,4.09194e-004  ,1.48108e-006  ,-1.21026e-004  ,4.26719e-004
120  ,3.83459e-004  ,1.07589e-006  ,-1.19488e-004  ,4.01646e-004
121  ,3.46648e-004  ,9.47537e-007  ,-1.12433e-004  ,3.64427e-004
122  ,2.95495e-004  ,8.07320e-007  ,-9.58782e-005  ,3.10662e-004
123  ,2.23599e-004  ,5.78204e-007  ,-6.56587e-005  ,2.33041e-004
124  ,1.52736e-004  ,2.28299e-007  ,-3.16031e-005  ,1.55972e-004
125  ,9.00142e-005  ,-3.89476e-007  ,-5.18204e-007  ,9.00165e-005
126  ,4.13512e-005  ,-7.27217e-007  ,2.15721e-005  ,4.66456e-005
127  ,1.84527e-005  ,-7.92164e-007  ,2.80788e-005  ,3.36088e-005
128  ,1.05023e-005  ,-1.02564e-006  ,2.40750e-005  ,2.62860e-005
129  ,8.22227e-006  ,-1.48161e-006  ,1.41662e-005  ,1.64464e-005
130  ,1.05826e-005  ,-1.63798e-006  ,-2.16289e-005  ,2.41348e-005
131  ,7.87694e-007  ,2.81927e-007  ,-9.59382e-006  ,9.63023e-006
132  ,-5.25420e-007  ,5.19375e-007  ,-4.62206e-006  ,4.68073e-006
133  ,7.08150e-008  ,1.58193e-007  ,-1.90337e-006  ,1.91125e-006
134  ,9.30780e-008  ,5.93697e-008  ,-7.58445e-007  ,7.66438e-007
135  ,2.03964e-008  ,3.60676e-009  ,-1.05770e-007  ,1.07779e-007
136  ,3.06486e-009  ,3.19561e-009  ,-7.17423e-009  ,8.43059e-009
137  ,4.35442e-009  ,3.64957e-009  ,5.49721e-008  ,5.52649e-008
138  ,2.91721e-008  ,4.36515e-008  ,3.70331e-007  ,3.74034e-007
139  ,3.97871e-008  ,1.47047e-007  ,9.52351e-007  ,9.64457e-007
140  ,-1.00462e-007  ,3.62574e-007  ,2.11577e-006  ,2.14897e-006
141  ,1.09709e-007  ,1.04557e-006  ,5.22200e-006  ,5.32678e-006
142  ,7.33218e-006  ,-1.03699e-006  ,1.10764e-005  ,1.33238e-005
143  ,1.99611e-005  ,-2.69276e-006  ,2.53011e-005  ,3.23395e-005
144  ,3.83834e-005  ,-2.38620e-006  ,3.38980e-005  ,5.12646e-005
145  ,6.75506e-005  ,-2.03182e-006  ,3.70293e-005  ,7.70609e-005
146  ,1.11938e-004  ,-1.38352e-006  ,3.06889e-005  ,1.16077e-004
147  ,2.24128e-004  ,9.83403e-008  ,-9.64253e-006  ,2.24335e-004
148  ,3.37227e-004  ,1.36418e-006  ,-6.40190e-005  ,3.43252e-004
149  ,3.82363e-004  ,1.88305e-006  ,-8.63983e-005  ,3.92007e-004
150  ,4.12511e-004  ,2.29448e-006  ,-1.00430e-004  ,4.24567e-004
151  ,4.30396e-004  ,2.79307e-006  ,-1.08119e-004  ,4.43778e-004
152  ,4.34792e-004  ,1.09285e-006  ,-1.04263e-004  ,4.47120e-004
153  ,4.28985e-004  ,2.01616e-006  ,-9.05017e-005  ,4.38432e-004
154  ,4.12789e-004  ,1.89667e-006  ,-8.43481e-005  ,4.21322e-004
155  ,3.84840e-004  ,1.74614e-006  ,-8.16856e-005  ,3.93418e-004
156  ,3.41576e-004  ,1.42181e-006  ,-8.40843e-005  ,3.51776e-004
157  ,2.29862e-004  ,6.89229e-007  ,-9.74568e-005  ,2.49669e-004
158  ,1.16733e-004  ,-6.36846e-007  ,-9.80358e-005  ,1.52440e-004
159  ,7.17912e-005  ,-1.31452e-006  ,-8.58666e-005  ,1.11932e-004
160  ,4.20537e-005  ,-1.97429e-006  ,-6.76117e-005  ,7.96477e-005
161  ,2.30010e-005  ,-2.88135e-006  ,-4.65738e-005  ,5.20237e-005
162  ,8.05456e-006  ,-2.64492e-006  ,6.47435e-006  ,1.06672e-005
163  ,9.02678e-006  ,-3.07283e-006  ,-1.01277e-005  ,1.39102e-005
164  ,1.52233e-005  ,-2.58239e-006  ,-2.95183e-005  ,3.33129e-005
165  ,2.01781e-005  ,-1.80682e-006  ,-5.11788e-005  ,5.50427e-005
166  ,2.83340e-005  ,-1.17259e-006  ,-7.02877e-005  ,7.57929e-005
167  ,5.15096e-005  ,-6.12810e-007  ,-8.23866e-005  ,9.71657e-005
168  ,1.00923e-004  ,-8.85404e-008  ,-8.49611e-005  ,1.31924e-004
169  ,1.64437e-004  ,3.38418e-007  ,-7.86452e-005  ,1.82276e-004
170  ,2.35791e-004  ,2.99832e-007  ,-7.00237e-005  ,2.45969e-004
171  ,3.07363e-004  ,3.74667e-007  ,-6.61850e-005  ,3.14409e-004
172  ,3.57636e-004  ,2.92929e-007  ,-7.06183e-005  ,3.64541e-004
173  ,3.93173e-004  ,1.56989e-007  ,-8.10850e-005  ,4.01448e-004
174  ,4.17808e-004  ,8.73969e-008  ,-9.39384e-005  ,4.28238e-004
175  ,4.41753e-004  ,-1.09547e-006  ,-1.05214e-004  ,4.54111e-004
176  ,4.64358e-004  ,2.32360e-006  ,-1.11526e-004  ,4.77569e-004
177  ,4.81477e-004  ,1.82216e-006  ,-1.09487e-004  ,4.93772e-004
178  ,5.04726e-004  ,1.45596e-006  ,-1.07457e-004  ,5.16040e-004
179  ,5.35615e-004  ,1.02838e-006  ,-1.07264e-004  ,5.46251e-004
180  ,5.82109e-004  ,3.52257e-007  ,-1.10241e-004  ,5.92456e-004
181  ,6.29529e-004  ,-4.07910e-007  ,-1.15463e-004  ,6.40030e-004
182  ,6.76060e-004  ,-1.19665e-006  ,-1.21042e-004  ,6.86812e-004
183  ,7.19859e-004  ,-2.03101e-006  ,-1.25250e-004  ,7.30677e-004
184  ,7.47857e-004  ,-2.57344e-006  ,-1.26432e-004  ,7.58473e-004
185  ,7.68339e-004  ,-2.96334e-006  ,-1.25905e-004  ,7.78592e-004
186  ,7.82201e-004  ,-3.07097e-006  ,-1.24567e-004  ,7.92064e-004
187  ,7.86852e-004  ,-5.35424e-006  ,-1.15211e-004  ,7.95260e-004
188  ,7.84487e-004  ,-3.79049e-006  ,-9.95165e-005  ,7.90783e-004
189  ,7.74658e-004  ,-3.60808e-006  ,-8.84280e-005  ,7.79697e-004
190  ,7.58370e-004  ,-3.43124e-006  ,-7.71856e-005  ,7.62296e-004
191  ,7.33983e-004  ,-3.21596e-006  ,-6.63192e-005  ,7.36980e-004
192  ,6.92669e-004  ,-2.92778e-006  ,-5.54023e-005  ,6.94887e-004
193  ,6.46256e-004  ,-2.68015e-006  ,-4.76638e-005  ,6.48017e-004
194  ,5.97367e-004  ,-2.41905e-006  ,-4.06092e-005  ,5.98750e-004
195  ,5.48673e-004  ,-2.13843e-006  ,-3.14611e-005  ,5.49578e-004
196  ,5.16226e-004  ,-1.93857e-006  ,-2.24539e-005  ,5.16718e-004
197  ,4.91964e-004  ,-1.70294e-006  ,-1.30261e-005  ,4.92139e-004
198  ,4.74156e-004  ,-1.28354e-006  ,-5.16144e-006  ,4.74186e-004
199  ,4.50809e-004  ,-3.56079e-006  ,-3.91860e-006  ,4.50840e-004
200  ,4.26086e-004  ,-1.87258e-006  ,-7.73949e-006  ,4.26160e-004
201  ,4.00698e-004  ,-2.09964e-006  ,-1.44623e-005  ,4.00965e-004
202  ,3.63860e-004  ,-2.24639e-006  ,-1.71331e-005  ,3.64270e-004
203  ,3.11853e-004  ,-2.45697e-006  ,-1.20003e-005  ,3.12093e-004
204  ,2.38112e-004  ,-2.66560e-006  ,4.66819e-006  ,2.38173e-004
205  ,1.64761e-004  ,-2.59517e-006  ,2.60623e-005  ,1.66829e-004
206  ,9.94448e-005  ,-2.65600e-006  ,4.49115e-005  ,1.09148e-004
207  ,4.85446e-005  ,-2.18200e-006  ,5.48492e-005  ,7.32787e-005
208  ,2.46181e-005  ,-1.76778e-006  ,5.18000e-005  ,5.73796e-005
209  ,1.61607e-005  ,-1.66561e-006  ,3.95371e-005  ,4.27448e-005
210  ,1.24421e-005  ,-1.99929e-006  ,2.30031e-005  ,2.62287e-005
211  ,9.04583e-006  ,-1.75622e-006  ,-1.62006e-005  ,1.86379e-005
212  ,3.21545e-007  ,5.98463e-007  ,-7.37939e-006  ,7.41060e-006
213  ,-1.14036e-007  ,2.49562e-007  ,-3.19333e-006  ,3.20510e-006
214  ,7.87814e-008  ,1.06455e-007  ,-1.39422e-006  ,1.40050e-006
215  ,7.13812e-008  ,4.51361e-008  ,-5.69815e-007  ,5.76040e-007
216  ,1.68442e-008  ,2.69554e-009  ,-8.10643e-008  ,8.28397e-008
217  ,3.16612e-009  ,1.55696e-009  ,6.91162e-010  ,3.59529e-009
218  ,6.36957e-009  ,-5.46119e-010  ,8.48769e-008  ,8.51173e-008
219  ,4.02569e-008  ,5.61498e-008  ,5.87320e-007  ,5.91369e-007
220  ,9.54929e-008  ,1.62617e-007  ,1.47724e-006  ,1.48922e-006
221  ,-9.21993e-008  ,4.00062e-007  ,3.27334e-006  ,3.29899e-006
222  ,4.50897e-007  ,1.26780e-006  ,7.52612e-006  ,7.64547e-006
223  ,9.63847e-006  ,-1.40056e-006  ,1.71933e-005  ,1.97604e-005
224  ,2.27076e-005  ,-3.93987e-006  ,3.81241e-005  ,4.45489e-005
225  ,4.20642e-005  ,-3.90753e-006  ,5.34124e-005  ,6.80996e-005
226  ,7.25741e-005  ,-4.02673e-006  ,6.45879e-005  ,9.72358e-005
227  ,1.18894e-004  ,-3.90578e-006  ,6.76723e-005  ,1.36860e-004
228  ,2.35140e-004  ,-3.36913e-006  ,4.70404e-005  ,2.39823e-004
229  ,3.50517e-004  ,-2.34823e-006  ,1.31007e-005  ,3.50769e-004
230  ,3.95546e-004  ,-1.79136e-006  ,1.09487e-006  ,3.95552e-004
231  ,4.24845e-004  ,-1.35103e-006  ,-4.01026e-006  ,4.24867e-004
232  ,4.41622e-004  ,-6.73591e-007  ,-4.36966e-006  ,4.41644e-004
233  ,4.46449e-004  ,-2.03130e-006  ,5.59713e-006  ,4.46489e-004
234  ,4.40934e-004  ,-4.65389e-007  ,1.41015e-005  ,4.41160e-004
235  ,4.22608e-004  ,-8.32546e-007  ,1.23624e-005  ,4.22790e-004
236  ,3.92228e-004  ,-1.07344e-006  ,5.86226e-006  ,3.92273e-004
237  ,3.46611e-004  ,-1.56505e-006  ,-7.55622e-006  ,3.46697e-004
238  ,2.31461e-004  ,-2.01434e-006  ,-4.31292e-005  ,2.35454e-004
239  ,1.16505e-004  ,-2.58363e-006  ,-6.46326e-005  ,1.33257e-004
240  ,7.10458e-005  ,-2.94684e-006  ,-6.19301e-005  ,9.42949e-005
241  ,4.10334e-005  ,-3.27633e-006  ,-5.12676e-005  ,6.57483e-005
242  ,2.18985e-005  ,-3.74716e-006  ,-3.64965e-005  ,4.27268e-005
243  ,9.37238e-006  ,-3.24825e-006  ,1.01539e-005  ,1.41949e-005
244  ,7.15751e-006  ,-2.77535e-006  ,-6.00078e-006  ,9.74382e-006
245  ,1.16550e-005  ,-2.20542e-006  ,-2.18779e-005  ,2.48867e-005
246  ,1.55642e-005  ,-1.61317e-006  ,-3.79023e-005  ,4.10053e-005
247  ,2.37657e-005  ,-1.23284e-006  ,-4.94952e-005  ,5.49191e-005
248  ,4.72702e-005  ,-1.18111e-006  ,-5.20833e-005  ,7.03459e-005
249  ,9.72832e-005  ,-1.29598e-006  ,-4.18987e-005  ,1.05930e-004
250  ,1.61529e-004  ,-1.52389e-006  ,-2.22714e-005  ,1.63064e-004
251  ,2.33976e-004  ,-1.73436e-006  ,6.24097e-008  ,2.33982e-004
252  ,3.07355e-004  ,-1.86235e-006  ,1.84156e-005  ,3.07912e-004
253  ,3.59421e-004  ,-1.89031e-006  ,2.56082e-005  ,3.60337e-004
254  ,3.96812e-004  ,-1.96175e-006  ,2.48220e-005  ,3.97592e-004
255  ,4.22859e-004  ,-1.79609e-006  ,2.01733e-005  ,4.23344e-004
256  ,4.49681e-004  ,-3.61938e-006  ,1.78855e-005  ,4.50051e-004
257  ,4.69957e-004  ,-9.00882e-007  ,2.10486e-005  ,4.70429e-004
258  ,4.85528e-004  ,-1.14557e-006  ,3.20277e-005  ,4.86585e-004
259  ,5.06457e-004  ,-1.28287e-006  ,4.51747e-005  ,5.08469e-004
260  ,5.34074e-004  ,-1.42209e-006  ,5.94659e-005  ,5.37377e-004
261  ,5.74823e-004  ,-1.60863e-006  ,7.73960e-005  ,5.80012e-004
262  ,6.14739e-004  ,-1.81703e-006  ,9.44236e-005  ,6.21951e-004
263  ,6.51340e-004  ,-1.99126e-006  ,1.13054e-004  ,6.61081e-004
264  ,6.82273e-004  ,-2.01240e-006  ,1.35600e-004  ,6.95621e-004
265  ,6.99207e-004  ,-2.01346e-006  ,1.54899e-004  ,7.16162e-004
266  ,7.09413e-004  ,-1.92713e-006  ,1.73053e-004  ,7.30218e-004
267  ,7.14315e-004  ,-1.73423e-006  ,1.89621e-004  ,7.39057e-004
268  ,7.14317e-004  ,-2.61168e-006  ,2.09928e-004  ,7.44530e-004
269  ,7.07806e-004  ,-6.96105e-007  ,2.13452e-004  ,7.39292e-004
270  ,6.92089e-004  ,-8.17754e-007  ,2.10324e-004  ,7.23342e-004
271  ,6.71118e-004  ,-7.73503e-007  ,2.06389e-004  ,7.02136e-004
272  ,6.44486e-004  ,-7.98237e-007  ,2.01197e-004  ,6.75161e-004
273  ,6.05581e-004  ,-9.24856e-007  ,1.93309e-004  ,6.35687e-004
274  ,5.66258e-004  ,-1.10016e-006  ,1.85274e-004  ,5.95799e-004
275  ,5.26900e-004  ,-1.28916e-006  ,1.77491e-004  ,5.55993e-004
276  ,4.87921e-004  ,-1.53336e-006  ,1.70396e-004  ,5.16821e-004
277  ,4.61214e-004  ,-1.74289e-006  ,1.66073e-004  ,4.90205e-004
278  ,4.40335e-004  ,-1.88788e-006  ,1.63175e-004  ,4.69601e-004
279  ,4.24303e-004  ,-1.66412e-006  ,1.59672e-004  ,4.53356e-004
280  ,4.01636e-004  ,-5.01445e-006  ,1.48572e-004  ,4.28265e-004
281  ,3.83126e-004  ,-4.04418e-006  ,1.33102e-004  ,4.05608e-004
282  ,3.62324e-004  ,-3.71672e-006  ,1.16085e-004  ,3.80484e-004
283  ,3.31267e-004  ,-3.35268e-006  ,1.01001e-004  ,3.46339e-004
284  ,2.86345e-004  ,-3.08374e-006  ,9.10684e-005  ,3.00493e-004
285  ,2.21071e-004  ,-2.72182e-006  ,8.82573e-005  ,2.38053e-004
