20:20, Thursday, January 17, 2019
Study name:Static 1 Square Tension
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
73  ,3.06493e-003  ,-5.02660e-005  ,1.23326e-005  ,3.06537e-003
74  ,3.03947e-003  ,-4.93854e-005  ,1.29960e-005  ,3.03990e-003
75  ,3.00752e-003  ,-4.84036e-005  ,1.59738e-005  ,3.00795e-003
76  ,2.93888e-003  ,-4.58039e-005  ,2.66547e-005  ,2.93936e-003
77  ,2.87122e-003  ,-4.30332e-005  ,3.93679e-005  ,2.87182e-003
78  ,2.84037e-003  ,-4.18793e-005  ,4.47710e-005  ,2.84103e-003
79  ,2.81586e-003  ,-4.09821e-005  ,4.84391e-005  ,2.81657e-003
80  ,2.79622e-003  ,-4.05728e-005  ,5.01924e-005  ,2.79696e-003
81  ,2.34791e-003  ,1.38222e-004  ,-2.99416e-005  ,2.35216e-003
82  ,2.34673e-003  ,1.38789e-004  ,-2.86655e-005  ,2.35101e-003
83  ,2.35641e-003  ,1.36558e-004  ,-2.86495e-005  ,2.36054e-003
84  ,2.36727e-003  ,1.34404e-004  ,-2.93661e-005  ,2.37127e-003
85  ,2.37914e-003  ,1.31780e-004  ,-3.03388e-005  ,2.38298e-003
86  ,2.39910e-003  ,1.26210e-004  ,-3.23016e-005  ,2.40264e-003
87  ,2.41182e-003  ,1.20715e-004  ,-3.40840e-005  ,2.41508e-003
88  ,2.41546e-003  ,1.18181e-004  ,-3.48373e-005  ,2.41860e-003
89  ,2.41732e-003  ,1.16173e-004  ,-3.53392e-005  ,2.42037e-003
90  ,2.41866e-003  ,1.14931e-004  ,-3.48419e-005  ,2.42164e-003
91  ,2.42907e-003  ,1.11013e-004  ,-3.40646e-005  ,2.43185e-003
92  ,2.44839e-003  ,1.11415e-004  ,-3.51347e-005  ,2.45117e-003
93  ,2.46866e-003  ,1.12781e-004  ,-3.66988e-005  ,2.47150e-003
94  ,2.49393e-003  ,1.14182e-004  ,-3.84579e-005  ,2.49684e-003
95  ,2.52548e-003  ,1.15962e-004  ,-4.16282e-005  ,2.52848e-003
96  ,2.59358e-003  ,1.19848e-004  ,-5.11389e-005  ,2.59685e-003
97  ,2.66128e-003  ,1.23730e-004  ,-6.29031e-005  ,2.66490e-003
98  ,2.69237e-003  ,1.25473e-004  ,-6.86434e-005  ,2.69617e-003
