19:45, Thursday, January 17, 2019
Study name:Static 1 Filled Tension
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
276  ,500  ,-2.5  ,-432.004  ,2.89812e-004
31271  ,500  ,5.58794e-008  ,432.004  ,2.89812e-004
169  ,495  ,-2.5  ,500  ,2.89810e-004
31013  ,500  ,5.58794e-008  ,-432.004  ,2.89810e-004
289  ,500  ,2.5  ,-432.004  ,2.89807e-004
31503  ,495.303  ,-1.27846  ,495.944  ,2.89803e-004
448  ,495  ,2.5  ,-500  ,2.89798e-004
31508  ,495  ,5.58794e-008  ,500  ,2.89798e-004
30745  ,495  ,5.58794e-008  ,-500  ,2.89796e-004
5457  ,495.605  ,-0.0569127  ,491.888  ,2.89796e-004
339  ,495  ,-2.5  ,-500  ,2.89795e-004
333  ,500  ,2.5  ,432.004  ,2.89793e-004
31492  ,495.303  ,1.22154  ,495.944  ,2.89791e-004
172  ,495  ,2.5  ,500  ,2.89786e-004
31293  ,495.938  ,0  ,486.022  ,2.89765e-004
30963  ,495.938  ,0  ,-486.022  ,2.89763e-004
30985  ,495.938  ,-2.5  ,-486.022  ,2.89761e-004
30750  ,495.938  ,2.5  ,486.022  ,2.89752e-004
31286  ,495.938  ,0  ,482.116  ,2.89681e-004
30959  ,495.938  ,0  ,-482.116  ,2.89680e-004
30992  ,495.938  ,-2.5  ,-482.116  ,2.89678e-004
30755  ,495.938  ,2.5  ,482.116  ,2.89667e-004
31272  ,500  ,-2.5  ,422.186  ,2.89632e-004
31021  ,500  ,-2.5  ,-422.186  ,2.89615e-004
31265  ,500  ,5.58794e-008  ,422.186  ,2.89614e-004
31012  ,500  ,5.58794e-008  ,-422.186  ,2.89612e-004
30949  ,500  ,2.5  ,-422.186  ,2.89610e-004
31292  ,495.254  ,-2.5  ,486.797  ,2.89598e-004
30775  ,500  ,2.5  ,422.186  ,2.89596e-004
30965  ,495.254  ,2.5  ,-486.797  ,2.89586e-004
31284  ,495.938  ,-2.5  ,476.648  ,2.89580e-004
30960  ,495.938  ,2.5  ,-476.648  ,2.89566e-004
30753  ,495.938  ,0  ,476.648  ,2.89565e-004
30993  ,495.938  ,0  ,-476.648  ,2.89563e-004
30991  ,495.938  ,-2.5  ,-476.648  ,2.89561e-004
30754  ,495.938  ,2.5  ,476.648  ,2.89551e-004
31285  ,495.254  ,-2.5  ,482.891  ,2.89515e-004
30961  ,495.254  ,2.5  ,-482.891  ,2.89502e-004
31280  ,495.938  ,-2.5  ,471.765  ,2.89478e-004
30957  ,495.938  ,2.5  ,-471.765  ,2.89463e-004
30758  ,495.938  ,0  ,471.765  ,2.89462e-004
30954  ,495.938  ,0  ,-471.765  ,2.89461e-004
30997  ,495.938  ,-2.5  ,-471.765  ,2.89459e-004
30759  ,495.938  ,2.5  ,471.765  ,2.89447e-004
233  ,500  ,-2.5  ,412.368  ,2.89435e-004
275  ,500  ,-2.5  ,-412.368  ,2.89419e-004
31266  ,500  ,5.58794e-008  ,412.368  ,2.89418e-004
31020  ,500  ,5.58794e-008  ,-412.368  ,2.89417e-004
290  ,500  ,2.5  ,-412.368  ,2.89415e-004
332  ,500  ,2.5  ,412.368  ,2.89401e-004
31504  ,493.703  ,-2.5  ,495.938  ,2.89350e-004
12966  ,494.006  ,-1.27846  ,491.882  ,2.89343e-004
30208  ,493.703  ,2.5  ,-495.938  ,2.89338e-004
30207  ,493.325  ,1.24542  ,-498.075  ,2.89275e-004
30743  ,493.325  ,-1.25458  ,-498.075  ,2.89273e-004
31505  ,493.438  ,0  ,496.203  ,2.89268e-004
30744  ,493.438  ,-2.5  ,-496.203  ,2.89264e-004
29940  ,493.74  ,1.22154  ,492.147  ,2.89261e-004
31493  ,493.438  ,2.5  ,496.203  ,2.89256e-004
31267  ,500  ,-2.5  ,402.549  ,2.89238e-004
31028  ,500  ,-2.5  ,-402.549  ,2.89224e-004
31260  ,500  ,5.58794e-008  ,402.549  ,2.89222e-004
31019  ,500  ,5.58794e-008  ,-402.549  ,2.89221e-004
30946  ,500  ,2.5  ,-402.549  ,2.89220e-004
30780  ,500  ,2.5  ,402.549  ,2.89207e-004
29935  ,493.74  ,1.22154  ,487.591  ,2.89162e-004
234  ,500  ,-2.5  ,392.731  ,2.89043e-004
274  ,500  ,-2.5  ,-392.731  ,2.89031e-004
31261  ,500  ,5.58794e-008  ,392.731  ,2.89029e-004
31027  ,500  ,5.58794e-008  ,-392.731  ,2.89029e-004
291  ,500  ,2.5  ,-392.731  ,2.89027e-004
331  ,500  ,2.5  ,392.731  ,2.89015e-004
12972  ,493.057  ,-1.27846  ,488.366  ,2.88996e-004
31515  ,491.875  ,-2.5  ,500  ,2.88915e-004
30212  ,491.875  ,2.5  ,-500  ,2.88903e-004
31507  ,491.875  ,5.58794e-008  ,500  ,2.88903e-004
30740  ,491.875  ,5.58794e-008  ,-500  ,2.88901e-004
30746  ,491.875  ,-2.5  ,-500  ,2.88899e-004
