19:45, Thursday, January 17, 2019
Study name:Static 1 Filled Tension
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
29953  ,484.48  ,2.5  ,471.545  ,2.86156e-004
515  ,484.844  ,2.5  ,-465.448  ,2.86147e-004
29946  ,484.844  ,0  ,465.448  ,2.86147e-004
29802  ,484.844  ,0  ,-465.448  ,2.86145e-004
2919  ,484.844  ,-2.5  ,-465.448  ,2.86144e-004
31016  ,488.027  ,-2.5  ,-420.715  ,2.86139e-004
30008  ,483.437  ,0  ,484.015  ,2.86137e-004
29835  ,483.436  ,0  ,-484.017  ,2.86135e-004
490  ,484.844  ,2.5  ,465.448  ,2.86131e-004
30774  ,488.027  ,2.5  ,420.715  ,2.86122e-004
30906  ,500  ,2.5  ,-225.82  ,2.86080e-004
31208  ,500  ,-2.5  ,225.82  ,2.86076e-004
31068  ,500  ,5.58794e-008  ,-225.82  ,2.86069e-004
31199  ,500  ,5.58794e-008  ,225.82  ,2.86069e-004
30811  ,500  ,2.5  ,225.82  ,2.86061e-004
31076  ,500  ,-2.5  ,-225.82  ,2.86057e-004
29950  ,483.631  ,0  ,476.988  ,2.86043e-004
29889  ,483.635  ,0  ,-476.988  ,2.86042e-004
12998  ,483.995  ,-2.5  ,470.891  ,2.86033e-004
31517  ,482.116  ,-2.5  ,495.938  ,2.86028e-004
29892  ,484  ,2.5  ,-470.888  ,2.86020e-004
30215  ,482.116  ,2.5  ,-495.938  ,2.86018e-004
29947  ,483.995  ,0  ,470.891  ,2.86018e-004
29888  ,484  ,0  ,-470.888  ,2.86018e-004
31484  ,482.116  ,0  ,495.938  ,2.86017e-004
30732  ,482.116  ,0  ,-495.938  ,2.86015e-004
12963  ,484.844  ,-2.5  ,455.448  ,2.85956e-004
31015  ,488.027  ,-2.5  ,-410.715  ,2.85938e-004
29945  ,484.844  ,0  ,455.448  ,2.85938e-004
29806  ,484.844  ,2.5  ,-455.448  ,2.85938e-004
29796  ,484.844  ,0  ,-455.448  ,2.85936e-004
300  ,500  ,2.5  ,-216.002  ,2.85936e-004
243  ,500  ,-2.5  ,216.002  ,2.85932e-004
31200  ,500  ,5.58794e-008  ,216.002  ,2.85926e-004
31075  ,500  ,5.58794e-008  ,-216.002  ,2.85924e-004
30773  ,488.027  ,2.5  ,410.715  ,2.85922e-004
322  ,500  ,2.5  ,216.002  ,2.85919e-004
265  ,500  ,-2.5  ,-216.002  ,2.85914e-004
2930  ,483.146  ,-2.5  ,476.333  ,2.85903e-004
501  ,483.156  ,2.5  ,-476.327  ,2.85893e-004
30902  ,500  ,2.5  ,-206.184  ,2.85796e-004
31201  ,500  ,-2.5  ,206.184  ,2.85792e-004
31194  ,500  ,5.58794e-008  ,206.184  ,2.85787e-004
31074  ,500  ,5.58794e-008  ,-206.184  ,2.85786e-004
30816  ,500  ,2.5  ,206.184  ,2.85783e-004
167  ,480.938  ,-2.5  ,500  ,2.85780e-004
31081  ,500  ,-2.5  ,-206.184  ,2.85776e-004
446  ,480.938  ,2.5  ,-500  ,2.85770e-004
31520  ,480.937  ,5.58794e-008  ,500  ,2.85769e-004
30734  ,480.937  ,5.58794e-008  ,-500  ,2.85767e-004
341  ,480.938  ,-2.5  ,-500  ,2.85764e-004
174  ,480.938  ,2.5  ,500  ,2.85759e-004
2945  ,484.844  ,-2.5  ,445.448  ,2.85750e-004
31023  ,488.027  ,-2.5  ,-400.897  ,2.85742e-004
516  ,484.844  ,2.5  ,-445.448  ,2.85730e-004
30779  ,488.027  ,2.5  ,400.897  ,2.85727e-004
301  ,500  ,2.5  ,-196.365  ,2.85661e-004
244  ,500  ,-2.5  ,196.365  ,2.85656e-004
31195  ,500  ,5.58794e-008  ,196.365  ,2.85654e-004
31080  ,500  ,5.58794e-008  ,-196.365  ,2.85653e-004
321  ,500  ,2.5  ,196.365  ,2.85652e-004
264  ,500  ,-2.5  ,-196.365  ,2.85644e-004
12961  ,484.844  ,-2.5  ,435.448  ,2.85543e-004
31022  ,488.027  ,-2.5  ,-390.897  ,2.85543e-004
30778  ,488.027  ,2.5  ,390.897  ,2.85530e-004
30898  ,500  ,2.5  ,-186.547  ,2.85529e-004
31196  ,500  ,-2.5  ,186.547  ,2.85526e-004
31189  ,500  ,5.58794e-008  ,186.547  ,2.85524e-004
29801  ,484.844  ,2.5  ,-435.448  ,2.85524e-004
30821  ,500  ,2.5  ,186.547  ,2.85523e-004
31079  ,500  ,5.58794e-008  ,-186.547  ,2.85523e-004
31086  ,500  ,-2.5  ,-186.547  ,2.85516e-004
302  ,500  ,2.5  ,-176.729  ,2.85403e-004
245  ,500  ,-2.5  ,176.729  ,2.85402e-004
31190  ,500  ,5.58794e-008  ,176.729  ,2.85401e-004
320  ,500  ,2.5  ,176.729  ,2.85400e-004
31085  ,500  ,5.58794e-008  ,-176.729  ,2.85399e-004
263  ,500  ,-2.5  ,-176.729  ,2.85395e-004
13057  ,480.604  ,-2.5  ,-486.849  ,2.85382e-004
30014  ,480.605  ,2.5  ,486.847  ,2.85375e-004
12970  ,480.434  ,-2.5  ,487.968  ,2.85373e-004
29830  ,480.444  ,2.5  ,-487.963  ,2.85365e-004
31030  ,488.027  ,-2.5  ,-381.078  ,2.85347e-004
30783  ,488.027  ,2.5  ,381.078  ,2.85339e-004
2946  ,484.844  ,-2.5  ,425.448  ,2.85339e-004
517  ,484.844  ,2.5  ,-425.448  ,2.85319e-004
30893  ,500  ,2.5  ,-166.911  ,2.85285e-004
31191  ,500  ,-2.5  ,166.911  ,2.85284e-004
31184  ,500  ,5.58794e-008  ,166.911  ,2.85283e-004
31084  ,500  ,5.58794e-008  ,-166.911  ,2.85282e-004
30826  ,500  ,2.5  ,166.911  ,2.85281e-004
31091  ,500  ,-2.5  ,-166.911  ,2.85279e-004
30934  ,490  ,2.5  ,-346.729  ,2.85258e-004
31245  ,490  ,-2.5  ,346.729  ,2.85253e-004
31247  ,490  ,0  ,346.729  ,2.85251e-004
30932  ,490  ,0  ,-346.729  ,2.85251e-004
30785  ,490  ,2.5  ,346.729  ,2.85250e-004
31035  ,490  ,-2.5  ,-346.729  ,2.85243e-004
13000  ,480.36  ,-2.5  ,480.197  ,2.85186e-004
30005  ,479.83  ,0  ,487.53  ,2.85179e-004
29894  ,480.375  ,2.5  ,-480.189  ,2.85178e-004
29816  ,479.829  ,0  ,-487.533  ,2.85177e-004
246  ,500  ,-2.5  ,157.092  ,2.85173e-004
303  ,500  ,2.5  ,-157.092  ,2.85172e-004
31185  ,500  ,5.58794e-008  ,157.092  ,2.85171e-004
31090  ,500  ,5.58794e-008  ,-157.092  ,2.85169e-004
319  ,500  ,2.5  ,157.092  ,2.85168e-004
262  ,500  ,-2.5  ,-157.092  ,2.85167e-004
31252  ,488.027  ,-2.5  ,371.078  ,2.85159e-004
31254  ,488.027  ,0  ,371.078  ,2.85152e-004
30938  ,488.027  ,2.5  ,-371.078  ,2.85152e-004
30937  ,488.027  ,0  ,-371.078  ,2.85151e-004
31029  ,488.027  ,-2.5  ,-371.078  ,2.85149e-004
30782  ,488.027  ,2.5  ,371.078  ,2.85146e-004
13056  ,480.239  ,-2.5  ,-480.419  ,2.85139e-004
12958  ,484.844  ,-2.5  ,415.448  ,2.85135e-004
30013  ,480.241  ,2.5  ,480.414  ,2.85132e-004
29795  ,484.844  ,2.5  ,-415.448  ,2.85116e-004
30929  ,490  ,2.5  ,-336.911  ,2.85075e-004
31239  ,490  ,-2.5  ,336.911  ,2.85067e-004
31186  ,500  ,-2.5  ,147.274  ,2.85065e-004
30927  ,490  ,0  ,-336.911  ,2.85065e-004
31241  ,490  ,0  ,336.911  ,2.85065e-004
30888  ,500  ,2.5  ,-147.274  ,2.85064e-004
30789  ,490  ,2.5  ,336.911  ,2.85063e-004
31179  ,500  ,5.58794e-008  ,147.274  ,2.85063e-004
31089  ,500  ,5.58794e-008  ,-147.274  ,2.85063e-004
31097  ,500  ,-2.5  ,-147.274  ,2.85061e-004
30830  ,500  ,2.5  ,147.274  ,2.85060e-004
31040  ,490  ,-2.5  ,-336.911  ,2.85056e-004
30010  ,479.755  ,0  ,479.759  ,2.84991e-004
29891  ,479.76  ,0  ,-479.759  ,2.84990e-004
31246  ,488.027  ,-2.5  ,361.26  ,2.84966e-004
247  ,500  ,-2.5  ,137.456  ,2.84965e-004
304  ,500  ,2.5  ,-137.456  ,2.84963e-004
30935  ,488.027  ,2.5  ,-361.26  ,2.84963e-004
31180  ,500  ,5.58794e-008  ,137.456  ,2.84962e-004
31096  ,500  ,5.58794e-008  ,-137.456  ,2.84962e-004
261  ,500  ,-2.5  ,-137.456  ,2.84961e-004
31248  ,488.027  ,0  ,361.26  ,2.84961e-004
318  ,500  ,2.5  ,137.456  ,2.84960e-004
30933  ,488.027  ,0  ,-361.26  ,2.84960e-004
30786  ,488.027  ,2.5  ,361.26  ,2.84957e-004
31036  ,488.027  ,-2.5  ,-361.26  ,2.84956e-004
2947  ,484.844  ,-2.5  ,405.448  ,2.84932e-004
518  ,484.844  ,2.5  ,-405.448  ,2.84915e-004
13029  ,478.601  ,-2.5  ,-491.191  ,2.84902e-004
29956  ,478.601  ,2.5  ,491.191  ,2.84897e-004
30930  ,490  ,2.5  ,-326.911  ,2.84889e-004
31238  ,490  ,-2.5  ,326.911  ,2.84881e-004
31240  ,490  ,0  ,326.911  ,2.84879e-004
30928  ,490  ,0  ,-326.911  ,2.84878e-004
30788  ,490  ,2.5  ,326.911  ,2.84876e-004
31181  ,500  ,-2.5  ,127.638  ,2.84871e-004
31173  ,500  ,5.58794e-008  ,127.638  ,2.84869e-004
30883  ,500  ,2.5  ,-127.638  ,2.84868e-004
31041  ,490  ,-2.5  ,-326.911  ,2.84868e-004
31095  ,500  ,5.58794e-008  ,-127.638  ,2.84867e-004
31104  ,500  ,-2.5  ,-127.638  ,2.84867e-004
30833  ,500  ,2.5  ,127.638  ,2.84867e-004
248  ,500  ,-2.5  ,117.819  ,2.84783e-004
31174  ,500  ,5.58794e-008  ,117.819  ,2.84781e-004
305  ,500  ,2.5  ,-117.819  ,2.84779e-004
31103  ,500  ,5.58794e-008  ,-117.819  ,2.84779e-004
260  ,500  ,-2.5  ,-117.819  ,2.84779e-004
317  ,500  ,2.5  ,117.819  ,2.84779e-004
13052  ,479.365  ,-2.5  ,-474.208  ,2.84756e-004
30002  ,479.372  ,2.5  ,474.185  ,2.84748e-004
29996  ,479.736  ,0  ,468.088  ,2.84737e-004
29804  ,479.73  ,0  ,-468.108  ,2.84734e-004
13051  ,479.73  ,-2.5  ,-468.108  ,2.84732e-004
12955  ,484.844  ,-2.5  ,395.448  ,2.84730e-004
30001  ,479.736  ,2.5  ,468.088  ,2.84722e-004
29790  ,484.844  ,2.5  ,-395.448  ,2.84715e-004
29990  ,480.449  ,0  ,457.255  ,2.84714e-004
29803  ,480.449  ,0  ,-457.255  ,2.84712e-004
13047  ,480.449  ,-2.5  ,-457.255  ,2.84710e-004
12965  ,477.826  ,-2.5  ,491.875  ,2.84709e-004
30924  ,490  ,2.5  ,-317.092  ,2.84708e-004
31232  ,490  ,-2.5  ,317.092  ,2.84702e-004
31175  ,500  ,-2.5  ,108.001  ,2.84702e-004
29817  ,477.826  ,2.5  ,-491.875  ,2.84700e-004
29930  ,477.826  ,0  ,491.875  ,2.84700e-004
31166  ,500  ,5.58794e-008  ,108.001  ,2.84699e-004
31111  ,500  ,-2.5  ,-108.001  ,2.84699e-004
31234  ,490  ,0  ,317.092  ,2.84698e-004
31102  ,500  ,5.58794e-008  ,-108.001  ,2.84698e-004
29814  ,477.826  ,0  ,-491.875  ,2.84697e-004
30837  ,500  ,2.5  ,108.001  ,2.84697e-004
29993  ,480.449  ,2.5  ,457.255  ,2.84697e-004
30922  ,490  ,0  ,-317.092  ,2.84697e-004
30879  ,500  ,2.5  ,-108.001  ,2.84697e-004
30792  ,490  ,2.5  ,317.092  ,2.84694e-004
31045  ,490  ,-2.5  ,-317.092  ,2.84686e-004
249  ,500  ,-2.5  ,98.1827  ,2.84628e-004
259  ,500  ,-2.5  ,-98.1827  ,2.84627e-004
31167  ,500  ,5.58794e-008  ,98.1827  ,2.84625e-004
31110  ,500  ,5.58794e-008  ,-98.1827  ,2.84624e-004
316  ,500  ,2.5  ,98.1827  ,2.84622e-004
306  ,500  ,2.5  ,-98.1827  ,2.84621e-004
29998  ,478.887  ,0  ,473.53  ,2.84609e-004
29890  ,478.887  ,0  ,-473.548  ,2.84607e-004
31168  ,500  ,-2.5  ,88.3645  ,2.84562e-004
31118  ,500  ,-2.5  ,-88.3645  ,2.84559e-004
31160  ,500  ,5.58794e-008  ,88.3645  ,2.84557e-004
31109  ,500  ,5.58794e-008  ,-88.3645  ,2.84556e-004
30842  ,500  ,2.5  ,88.3645  ,2.84553e-004
30876  ,500  ,2.5  ,-88.3645  ,2.84553e-004
2948  ,484.844  ,-2.5  ,385.448  ,2.84529e-004
30925  ,490  ,2.5  ,-307.092  ,2.84527e-004
31231  ,490  ,-2.5  ,307.092  ,2.84521e-004
31233  ,490  ,0  ,307.092  ,2.84516e-004
519  ,484.844  ,2.5  ,-385.448  ,2.84516e-004
30923  ,490  ,0  ,-307.092  ,2.84515e-004
30791  ,490  ,2.5  ,307.092  ,2.84512e-004
29989  ,480.449  ,0  ,447.255  ,2.84506e-004
29798  ,480.449  ,0  ,-447.255  ,2.84504e-004
31046  ,490  ,-2.5  ,-307.092  ,2.84503e-004
250  ,500  ,-2.5  ,78.5462  ,2.84502e-004
258  ,500  ,-2.5  ,-78.5462  ,2.84498e-004
31161  ,500  ,5.58794e-008  ,78.5462  ,2.84496e-004
31117  ,500  ,5.58794e-008  ,-78.5462  ,2.84495e-004
307  ,500  ,2.5  ,-78.5462  ,2.84491e-004
315  ,500  ,2.5  ,78.5462  ,2.84491e-004
2938  ,477.574  ,-2.5  ,484.06  ,2.84469e-004
509  ,477.594  ,2.5  ,-484.051  ,2.84463e-004
31516  ,476.648  ,-2.5  ,495.938  ,2.84460e-004
30214  ,476.648  ,2.5  ,-495.938  ,2.84451e-004
31518  ,476.648  ,0  ,495.938  ,2.84451e-004
31162  ,500  ,-2.5  ,68.7279  ,2.84449e-004
30213  ,476.648  ,0  ,-495.938  ,2.84449e-004
30730  ,476.648  ,-2.5  ,-495.938  ,2.84446e-004
31125  ,500  ,-2.5  ,-68.7279  ,2.84444e-004
31485  ,476.648  ,2.5  ,495.938  ,2.84442e-004
31155  ,500  ,5.58794e-008  ,68.7279  ,2.84442e-004
31116  ,500  ,5.58794e-008  ,-68.7279  ,2.84441e-004
30873  ,500  ,2.5  ,-68.7279  ,2.84438e-004
30846  ,500  ,2.5  ,68.7279  ,2.84434e-004
251  ,500  ,-2.5  ,58.9096  ,2.84404e-004
257  ,500  ,-2.5  ,-58.9096  ,2.84396e-004
31156  ,500  ,5.58794e-008  ,58.9097  ,2.84394e-004
31124  ,500  ,5.58794e-008  ,-58.9097  ,2.84393e-004
308  ,500  ,2.5  ,-58.9096  ,2.84391e-004
314  ,500  ,2.5  ,58.9096  ,2.84384e-004
31528  ,476.055  ,-2.5  ,500  ,2.84378e-004
30219  ,476.055  ,2.5  ,-500  ,2.84371e-004
31519  ,476.055  ,5.58794e-008  ,500  ,2.84370e-004
30727  ,476.055  ,5.58794e-008  ,-500  ,2.84368e-004
30735  ,476.055  ,-2.5  ,-500  ,2.84366e-004
31157  ,500  ,-2.5  ,49.0914  ,2.84363e-004
31487  ,476.055  ,2.5  ,500  ,2.84362e-004
31132  ,500  ,-2.5  ,-49.0914  ,2.84356e-004
31123  ,500  ,5.58794e-008  ,-49.0913  ,2.84355e-004
31150  ,500  ,5.58794e-008  ,49.0914  ,2.84354e-004
30870  ,500  ,2.5  ,-49.0914  ,2.84353e-004
30919  ,490  ,2.5  ,-297.274  ,2.84352e-004
31225  ,490  ,-2.5  ,297.274  ,2.84346e-004
30851  ,500  ,2.5  ,49.0914  ,2.84344e-004
31227  ,490  ,0  ,297.274  ,2.84340e-004
30917  ,490  ,0  ,-297.274  ,2.84339e-004
30795  ,490  ,2.5  ,297.274  ,2.84335e-004
252  ,500  ,-2.5  ,39.2731  ,2.84330e-004
31050  ,490  ,-2.5  ,-297.274  ,2.84327e-004
256  ,500  ,-2.5  ,-39.2731  ,2.84323e-004
31131  ,500  ,5.58794e-008  ,-39.2731  ,2.84322e-004
309  ,500  ,2.5  ,-39.2731  ,2.84321e-004
31151  ,500  ,5.58794e-008  ,39.2731  ,2.84321e-004
313  ,500  ,2.5  ,39.2731  ,2.84311e-004
31152  ,500  ,-2.5  ,29.4548  ,2.84303e-004
29983  ,480.449  ,0  ,437.255  ,2.84299e-004
31138  ,500  ,-2.5  ,-29.4548  ,2.84298e-004
29797  ,480.449  ,0  ,-437.255  ,2.84298e-004
31130  ,500  ,5.58794e-008  ,-29.4548  ,2.84296e-004
31145  ,500  ,5.58794e-008  ,29.4548  ,2.84295e-004
30867  ,500  ,2.5  ,-29.4548  ,2.84295e-004
30856  ,500  ,2.5  ,29.4548  ,2.84288e-004
253  ,500  ,-2.5  ,19.6365  ,2.84283e-004
255  ,500  ,-2.5  ,-19.6365  ,2.84280e-004
31137  ,500  ,5.58794e-008  ,-19.6366  ,2.84278e-004
31146  ,500  ,5.58794e-008  ,19.6365  ,2.84277e-004
29828  ,476.979  ,0  ,-483.621  ,2.84275e-004
310  ,500  ,2.5  ,-19.6365  ,2.84275e-004
30007  ,476.97  ,0  ,483.623  ,2.84275e-004
312  ,500  ,2.5  ,19.6365  ,2.84272e-004
31147  ,500  ,-2.5  ,9.81827  ,2.84271e-004
31142  ,500  ,-2.5  ,-9.81827  ,2.84270e-004
31136  ,500  ,5.58794e-008  ,-9.81832  ,2.84266e-004
254  ,500  ,-2.5  ,0  ,2.84266e-004
31140  ,500  ,5.58794e-008  ,9.81826  ,2.84266e-004
30864  ,500  ,2.5  ,-9.81826  ,2.84263e-004
31141  ,500  ,5.58794e-008  ,0  ,2.84262e-004
30860  ,500  ,2.5  ,9.81829  ,2.84261e-004
311  ,500  ,2.5  ,0  ,2.84258e-004
30920  ,490  ,2.5  ,-287.274  ,2.84175e-004
31224  ,490  ,-2.5  ,287.274  ,2.84170e-004
29882  ,477.617  ,2.5  ,-469.809  ,2.84166e-004
31226  ,490  ,0  ,287.274  ,2.84164e-004
30918  ,490  ,0  ,-287.274  ,2.84162e-004
12994  ,477.544  ,-2.5  ,469.84  ,2.84160e-004
30794  ,490  ,2.5  ,287.274  ,2.84157e-004
31051  ,490  ,-2.5  ,-287.274  ,2.84150e-004
29982  ,480.449  ,0  ,427.255  ,2.84094e-004
29792  ,480.449  ,0  ,-427.255  ,2.84092e-004
2910  ,476.364  ,-2.5  ,-483.19  ,2.84088e-004
481  ,476.365  ,2.5  ,483.186  ,2.84081e-004
29896  ,476.773  ,2.5  ,-475.248  ,2.84040e-004
13002  ,476.695  ,-2.5  ,475.282  ,2.84030e-004
30914  ,490  ,2.5  ,-277.456  ,2.84003e-004
31218  ,490  ,-2.5  ,277.456  ,2.84001e-004
31220  ,490  ,0  ,277.456  ,2.83994e-004
30912  ,490  ,0  ,-277.456  ,2.83992e-004
30798  ,490  ,2.5  ,277.456  ,2.83986e-004
31055  ,490  ,-2.5  ,-277.456  ,2.83981e-004
29976  ,480.449  ,0  ,417.255  ,2.83890e-004
29791  ,480.449  ,0  ,-417.255  ,2.83889e-004
30915  ,490  ,2.5  ,-267.456  ,2.83833e-004
31217  ,490  ,-2.5  ,267.456  ,2.83832e-004
31219  ,490  ,0  ,267.456  ,2.83824e-004
30913  ,490  ,0  ,-267.456  ,2.83823e-004
30797  ,490  ,2.5  ,267.456  ,2.83817e-004
31056  ,490  ,-2.5  ,-267.456  ,2.83813e-004
12969  ,474.966  ,-2.5  ,487.968  ,2.83805e-004
29829  ,474.976  ,2.5  ,-487.963  ,2.83798e-004
13058  ,475.49  ,-2.5  ,-476.979  ,2.83704e-004
30015  ,475.497  ,2.5  ,476.957  ,2.83697e-004
29975  ,480.449  ,0  ,407.255  ,2.83688e-004
29787  ,480.449  ,0  ,-407.255  ,2.83686e-004
30909  ,490  ,2.5  ,-257.638  ,2.83670e-004
31211  ,490  ,-2.5  ,257.638  ,2.83668e-004
31213  ,490  ,0  ,257.638  ,2.83661e-004
30907  ,490  ,0  ,-257.638  ,2.83660e-004
30801  ,490  ,2.5  ,257.638  ,2.83654e-004
31060  ,490  ,-2.5  ,-257.638  ,2.83651e-004
30004  ,474.362  ,0  ,487.53  ,2.83612e-004
29812  ,474.361  ,0  ,-487.533  ,2.83610e-004
13055  ,474.361  ,-2.5  ,-487.533  ,2.83608e-004
30012  ,474.362  ,2.5  ,487.53  ,2.83603e-004
30910  ,490  ,2.5  ,-247.638  ,2.83510e-004
31210  ,490  ,-2.5  ,247.638  ,2.83507e-004
30908  ,490  ,0  ,-247.638  ,2.83500e-004
31212  ,490  ,0  ,247.638  ,2.83499e-004
30800  ,490  ,2.5  ,247.638  ,2.83492e-004
31061  ,490  ,-2.5  ,-247.638  ,2.83490e-004
29969  ,480.449  ,0  ,397.255  ,2.83486e-004
29786  ,480.449  ,0  ,-397.255  ,2.83485e-004
30904  ,490  ,2.5  ,-237.819  ,2.83356e-004
31204  ,490  ,-2.5  ,237.819  ,2.83352e-004
30903  ,490  ,0  ,-237.819  ,2.83345e-004
31205  ,490  ,0  ,237.819  ,2.83345e-004
30805  ,490  ,2.5  ,237.819  ,2.83338e-004
31065  ,490  ,-2.5  ,-237.819  ,2.83334e-004
29884  ,473.992  ,2.5  ,-479.11  ,2.83325e-004
2911  ,474.617  ,-2.5  ,-470.768  ,2.83321e-004
482  ,474.629  ,2.5  ,470.728  ,2.83315e-004
12996  ,473.909  ,-2.5  ,479.146  ,2.83313e-004
13053  ,475.336  ,-2.5  ,-459.915  ,2.83298e-004
30003  ,475.342  ,2.5  ,459.895  ,2.83288e-004
29968  ,480.449  ,0  ,387.255  ,2.83286e-004
29782  ,480.449  ,0  ,-387.255  ,2.83285e-004
2912  ,476.055  ,-2.5  ,-449.063  ,2.83278e-004
483  ,476.055  ,2.5  ,449.063  ,2.83264e-004
29800  ,476.343  ,2.5  ,-441.335  ,2.83204e-004
30905  ,490  ,2.5  ,-227.819  ,2.83202e-004
31203  ,490  ,-2.5  ,227.819  ,2.83199e-004
30803  ,490  ,0  ,227.819  ,2.83192e-004
31067  ,490  ,0  ,-227.819  ,2.83191e-004
30804  ,490  ,2.5  ,227.819  ,2.83185e-004
31066  ,490  ,-2.5  ,-227.819  ,2.83181e-004
31209  ,488.79  ,-1.13538  ,247.04  ,2.83142e-004
2942  ,472.359  ,-2.5  ,491.875  ,2.83141e-004
29880  ,473.377  ,0  ,-478.679  ,2.83137e-004
513  ,472.359  ,2.5  ,-491.875  ,2.83133e-004
29929  ,472.359  ,0  ,491.875  ,2.83133e-004
29811  ,472.359  ,0  ,-491.875  ,2.83131e-004
2923  ,472.359  ,-2.5  ,-491.875  ,2.83129e-004
494  ,472.359  ,2.5  ,491.875  ,2.83126e-004
30009  ,473.305  ,0  ,478.708  ,2.83119e-004
12952  ,480.449  ,-2.5  ,377.255  ,2.83098e-004
29962  ,480.449  ,0  ,377.255  ,2.83088e-004
29785  ,480.449  ,2.5  ,-377.255  ,2.83087e-004
29781  ,480.449  ,0  ,-377.255  ,2.83086e-004
13048  ,476.055  ,-2.5  ,-439.062  ,2.83071e-004
31522  ,471.765  ,-2.5  ,495.938  ,2.83058e-004
29994  ,476.055  ,2.5  ,439.062  ,2.83056e-004
30900  ,490  ,2.5  ,-218.001  ,2.83055e-004
31198  ,490  ,-2.5  ,218.001  ,2.83052e-004
31525  ,471.765  ,0  ,495.938  ,2.83052e-004
30217  ,471.765  ,2.5  ,-495.938  ,2.83052e-004
30725  ,471.765  ,0  ,-495.938  ,2.83050e-004
30724  ,471.765  ,-2.5  ,-495.938  ,2.83048e-004
31482  ,471.765  ,2.5  ,495.938  ,2.83046e-004
30808  ,490  ,0  ,218.001  ,2.83046e-004
31073  ,490  ,0  ,-218.001  ,2.83045e-004
30810  ,490  ,2.5  ,218.001  ,2.83040e-004
31071  ,490  ,-2.5  ,-218.001  ,2.83035e-004
29793  ,476.343  ,2.5  ,-431.335  ,2.82997e-004
31202  ,488.79  ,-1.13538  ,237.222  ,2.82987e-004
166  ,471.172  ,-2.5  ,500  ,2.82976e-004
445  ,471.172  ,2.5  ,-500  ,2.82972e-004
31527  ,471.172  ,5.58794e-008  ,500  ,2.82971e-004
30728  ,471.172  ,5.58794e-008  ,-500  ,2.82970e-004
342  ,471.172  ,-2.5  ,-500  ,2.82968e-004
175  ,471.172  ,2.5  ,500  ,2.82967e-004
29805  ,473.97  ,2.5  ,-461.055  ,2.82935e-004
30901  ,490  ,2.5  ,-208.001  ,2.82911e-004
31197  ,490  ,-2.5  ,208.001  ,2.82908e-004
30807  ,490  ,0  ,208.001  ,2.82903e-004
30899  ,490  ,0  ,-208.001  ,2.82902e-004
30809  ,490  ,2.5  ,208.001  ,2.82898e-004
31072  ,490  ,-2.5  ,-208.001  ,2.82893e-004
2913  ,476.055  ,-2.5  ,-429.063  ,2.82865e-004
484  ,476.055  ,2.5  ,429.063  ,2.82850e-004
30896  ,490  ,2.5  ,-198.183  ,2.82775e-004
31193  ,490  ,-2.5  ,198.183  ,2.82770e-004
30813  ,490  ,0  ,198.183  ,2.82767e-004
30894  ,490  ,0  ,-198.183  ,2.82766e-004
30815  ,490  ,2.5  ,198.183  ,2.82764e-004
31077  ,490  ,-2.5  ,-198.183  ,2.82758e-004
12962  ,473.283  ,-2.5  ,461.283  ,2.82758e-004
29879  ,472.503  ,0  ,-472.469  ,2.82753e-004
12971  ,471.511  ,-2.5  ,484.452  ,2.82737e-004
29997  ,472.436  ,0  ,472.48  ,2.82737e-004
29831  ,471.521  ,2.5  ,-484.447  ,2.82732e-004
29799  ,473.97  ,2.5  ,-451.055  ,2.82725e-004
13044  ,476.055  ,-2.5  ,-419.063  ,2.82660e-004
29986  ,476.055  ,2.5  ,419.063  ,2.82646e-004
30897  ,490  ,2.5  ,-188.183  ,2.82640e-004
31192  ,490  ,-2.5  ,188.183  ,2.82636e-004
30812  ,490  ,0  ,188.183  ,2.82634e-004
30895  ,490  ,0  ,-188.183  ,2.82632e-004
30814  ,490  ,2.5  ,188.183  ,2.82632e-004
31078  ,490  ,-2.5  ,-188.183  ,2.82625e-004
12960  ,473.283  ,-2.5  ,451.283  ,2.82550e-004
30006  ,470.907  ,0  ,484.015  ,2.82546e-004
29826  ,470.906  ,0  ,-484.017  ,2.82544e-004
13054  ,470.906  ,-2.5  ,-484.017  ,2.82541e-004
30011  ,470.907  ,2.5  ,484.015  ,2.82538e-004
30891  ,490  ,2.5  ,-178.364  ,2.82512e-004
31188  ,490  ,-2.5  ,178.364  ,2.82510e-004
30818  ,490  ,0  ,178.364  ,2.82509e-004
30820  ,490  ,2.5  ,178.364  ,2.82507e-004
30889  ,490  ,0  ,-178.364  ,2.82507e-004
31082  ,490  ,-2.5  ,-178.364  ,2.82501e-004
2914  ,476.055  ,-2.5  ,-409.062  ,2.82457e-004
485  ,476.055  ,2.5  ,409.062  ,2.82444e-004
12959  ,473.609  ,-2.5  ,440.218  ,2.82414e-004
30892  ,490  ,2.5  ,-168.364  ,2.82389e-004
31187  ,490  ,-2.5  ,168.364  ,2.82388e-004
30817  ,490  ,0  ,168.364  ,2.82387e-004
30819  ,490  ,2.5  ,168.364  ,2.82386e-004
30890  ,490  ,0  ,-168.364  ,2.82385e-004
31083  ,490  ,-2.5  ,-168.364  ,2.82381e-004
31183  ,490  ,-2.5  ,158.546  ,2.82275e-004
30886  ,490  ,2.5  ,-158.546  ,2.82274e-004
