Part,Displacement,Strain,Stress
Filled,2.91E+04,5.94E-07,5.92E+04
Square,4.43E-03,1.02E-05,9.44E+05
Square Diamond,2.72E-02,3.28E-05,3.26E+06
Hex,3.15E-02,2.32E-05,2.39E+06
Hex Diamond,5.73E-02,3.52E-05,3.20E+06
Triangle,1.46E-02,2.78E-05,2.93E+06
