18:28, Friday, January 18, 2019
Study name:Static 3 Square Torsion
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
71  ,-8.82043e+001  ,-3.73891e+002  ,5.29103e-004  ,3.84154e+002
72  ,-8.73619e+001  ,-3.71113e+002  ,6.58303e-004  ,3.81257e+002
73  ,-8.63094e+001  ,-3.67641e+002  ,7.11072e-004  ,3.77636e+002
74  ,-8.49947e+001  ,-3.63302e+002  ,7.35790e-004  ,3.73112e+002
75  ,-8.33533e+001  ,-3.57882e+002  ,7.80739e-004  ,3.67460e+002
76  ,-7.98054e+001  ,-3.46144e+002  ,8.26599e-004  ,3.55224e+002
77  ,-7.62763e+001  ,-3.34432e+002  ,8.34446e-004  ,3.43020e+002
78  ,-7.46562e+001  ,-3.29041e+002  ,8.82906e-004  ,3.37404e+002
79  ,-7.33643e+001  ,-3.24733e+002  ,9.24927e-004  ,3.32918e+002
80  ,-7.23337e+001  ,-3.21292e+002  ,9.49838e-004  ,3.29334e+002
81  ,-5.39527e+001  ,-2.58806e+002  ,-1.30294e-003  ,2.64370e+002
82  ,-5.39543e+001  ,-2.58807e+002  ,-1.11262e-003  ,2.64371e+002
83  ,-5.39552e+001  ,-2.58809e+002  ,-1.13153e-003  ,2.64373e+002
84  ,-5.39564e+001  ,-2.58811e+002  ,-1.18344e-003  ,2.64376e+002
85  ,-5.39580e+001  ,-2.58816e+002  ,-1.28041e-003  ,2.64380e+002
86  ,-5.39623e+001  ,-2.58826e+002  ,-1.54326e-003  ,2.64391e+002
87  ,-5.39680e+001  ,-2.58838e+002  ,-1.87120e-003  ,2.64404e+002
88  ,-5.39711e+001  ,-2.58844e+002  ,-2.04551e-003  ,2.64411e+002
89  ,-5.39738e+001  ,-2.58849e+002  ,-2.18527e-003  ,2.64416e+002
90  ,-5.39761e+001  ,-2.58853e+002  ,-2.25035e-003  ,2.64421e+002
91  ,-5.39772e+001  ,-2.58858e+002  ,-2.23729e-003  ,2.64426e+002
92  ,-5.47425e+001  ,-2.61524e+002  ,-2.26424e-003  ,2.67192e+002
93  ,-5.57042e+001  ,-2.64862e+002  ,-2.20191e-003  ,2.70656e+002
94  ,-5.69137e+001  ,-2.69047e+002  ,-2.11133e-003  ,2.75000e+002
95  ,-5.84365e+001  ,-2.74294e+002  ,-2.08202e-003  ,2.80450e+002
96  ,-6.17773e+001  ,-2.85730e+002  ,-2.16400e-003  ,2.92332e+002
97  ,-6.51678e+001  ,-2.97240e+002  ,-2.20966e-003  ,3.04300e+002
98  ,-6.67470e+001  ,-3.02572e+002  ,-2.16589e-003  ,3.09847e+002
99  ,-6.80167e+001  ,-3.06847e+002  ,-2.08023e-003  ,3.14295e+002
100  ,-6.90363e+001  ,-3.10273e+002  ,-1.96349e-003  ,3.17860e+002
101  ,-6.98541e+001  ,-3.13017e+002  ,-1.73752e-003  ,3.20716e+002
102  ,-6.98516e+001  ,-3.13014e+002  ,-1.88621e-003  ,3.20713e+002
103  ,-6.98496e+001  ,-3.13011e+002  ,-1.95474e-003  ,3.20710e+002
104  ,-6.98474e+001  ,-3.13006e+002  ,-2.00842e-003  ,3.20705e+002
105  ,-6.98447e+001  ,-3.13001e+002  ,-2.06024e-003  ,3.20699e+002
106  ,-6.98394e+001  ,-3.12990e+002  ,-2.13120e-003  ,3.20687e+002
107  ,-6.98343e+001  ,-3.12978e+002  ,-2.14935e-003  ,3.20674e+002
108  ,-6.98319e+001  ,-3.12973e+002  ,-2.14145e-003  ,3.20669e+002
109  ,-6.98300e+001  ,-3.12968e+002  ,-2.12801e-003  ,3.20664e+002
110  ,-6.98285e+001  ,-3.12965e+002  ,-2.13197e-003  ,3.20660e+002
111  ,-6.98282e+001  ,-3.12962e+002  ,-2.19120e-003  ,3.20658e+002
112  ,-6.90105e+001  ,-3.10218e+002  ,-2.35952e-003  ,3.17801e+002
113  ,-6.79910e+001  ,-3.06793e+002  ,-2.50884e-003  ,3.14236e+002
114  ,-6.67215e+001  ,-3.02518e+002  ,-2.57448e-003  ,3.09788e+002
115  ,-6.51425e+001  ,-2.97186e+002  ,-2.43358e-003  ,3.04241e+002
116  ,-6.17524e+001  ,-2.85676e+002  ,-1.74765e-003  ,2.92274e+002
117  ,-5.84118e+001  ,-2.74240e+002  ,-1.00293e-003  ,2.80392e+002
118  ,-5.68891e+001  ,-2.68993e+002  ,-8.00497e-004  ,2.74943e+002
119  ,-5.56797e+001  ,-2.64809e+002  ,-7.90170e-004  ,2.70600e+002
120  ,-5.47181e+001  ,-2.61471e+002  ,-9.10486e-004  ,2.67135e+002
121  ,-1.78993e+000  ,-2.87158e+001  ,1.31484e-003  ,2.87716e+001
122  ,-1.79332e+000  ,-2.87038e+001  ,1.70411e-003  ,2.87598e+001
123  ,-1.79198e+000  ,-2.86953e+001  ,1.23418e-003  ,2.87512e+001
124  ,-1.79002e+000  ,-2.86868e+001  ,7.15478e-004  ,2.87426e+001
125  ,-1.78813e+000  ,-2.86787e+001  ,-4.89604e-005  ,2.87344e+001
126  ,-1.78639e+000  ,-2.86715e+001  ,-1.72574e-003  ,2.87271e+001
127  ,-1.78798e+000  ,-2.86782e+001  ,-3.40198e-003  ,2.87339e+001
128  ,-1.78982e+000  ,-2.86860e+001  ,-4.16142e-003  ,2.87418e+001
129  ,-1.79170e+000  ,-2.86946e+001  ,-4.74371e-003  ,2.87504e+001
130  ,-1.79324e+000  ,-2.87032e+001  ,-5.07795e-003  ,2.87591e+001
131  ,-1.78956e+000  ,-2.87143e+001  ,-4.85102e-003  ,2.87700e+001
132  ,-1.92540e+000  ,-2.99265e+001  ,-5.51937e-003  ,2.99884e+001
133  ,-2.10448e+000  ,-3.14732e+001  ,-5.61563e-003  ,3.15434e+001
134  ,-2.34155e+000  ,-3.34564e+001  ,-5.59102e-003  ,3.35383e+001
135  ,-2.65870e+000  ,-3.60123e+001  ,-5.58227e-003  ,3.61103e+001
136  ,-3.42713e+000  ,-4.18396e+001  ,-5.57268e-003  ,4.19797e+001
137  ,-4.30980e+000  ,-4.80479e+001  ,-5.51713e-003  ,4.82408e+001
138  ,-4.75648e+000  ,-5.10363e+001  ,-5.44613e-003  ,5.12575e+001
139  ,-5.13198e+000  ,-5.34822e+001  ,-5.38587e-003  ,5.37279e+001
140  ,-5.44396e+000  ,-5.54738e+001  ,-5.32538e-003  ,5.57403e+001
141  ,-5.70030e+000  ,-5.70890e+001  ,-4.42079e-003  ,5.73729e+001
142  ,-5.69270e+000  ,-5.70826e+001  ,-4.78688e-003  ,5.73658e+001
143  ,-5.68986e+000  ,-5.70760e+001  ,-4.44860e-003  ,5.73589e+001
144  ,-5.68731e+000  ,-5.70692e+001  ,-3.95756e-003  ,5.73518e+001
145  ,-5.68512e+000  ,-5.70629e+001  ,-3.30312e-003  ,5.73454e+001
146  ,-5.68332e+000  ,-5.70576e+001  ,-1.87966e-003  ,5.73400e+001
147  ,-5.68546e+000  ,-5.70638e+001  ,-4.64022e-004  ,5.73463e+001
148  ,-5.68777e+000  ,-5.70704e+001  ,1.72146e-004  ,5.73532e+001
149  ,-5.69032e+000  ,-5.70775e+001  ,6.32245e-004  ,5.73605e+001
150  ,-5.69319e+000  ,-5.70842e+001  ,8.60991e-004  ,5.73674e+001
151  ,-5.70079e+000  ,-5.70907e+001  ,7.14974e-004  ,5.73746e+001
152  ,-5.44436e+000  ,-5.54753e+001  ,1.41355e-003  ,5.57418e+001
153  ,-5.13238e+000  ,-5.34837e+001  ,1.48647e-003  ,5.37294e+001
154  ,-4.75693e+000  ,-5.10378e+001  ,1.56821e-003  ,5.12590e+001
155  ,-4.31029e+000  ,-4.80495e+001  ,1.62178e-003  ,4.82425e+001
156  ,-3.42768e+000  ,-4.18413e+001  ,1.66937e-003  ,4.19815e+001
157  ,-2.65920e+000  ,-3.60139e+001  ,1.80265e-003  ,3.61119e+001
158  ,-2.34206e+000  ,-3.34579e+001  ,1.95407e-003  ,3.35398e+001
159  ,-2.10499e+000  ,-3.14746e+001  ,2.10210e-003  ,3.15449e+001
160  ,-1.92592e+000  ,-2.99279e+001  ,2.15123e-003  ,2.99898e+001
161  ,-7.14662e+001  ,-3.18457e+002  ,2.34296e-003  ,3.26377e+002
162  ,-7.14642e+001  ,-3.18451e+002  ,2.33385e-003  ,3.26371e+002
163  ,-7.14612e+001  ,-3.18445e+002  ,2.20181e-003  ,3.26365e+002
164  ,-7.14576e+001  ,-3.18437e+002  ,2.06765e-003  ,3.26356e+002
165  ,-7.14534e+001  ,-3.18427e+002  ,1.95466e-003  ,3.26345e+002
166  ,-7.14444e+001  ,-3.18404e+002  ,1.94325e-003  ,3.26321e+002
167  ,-7.14348e+001  ,-3.18381e+002  ,2.24593e-003  ,3.26296e+002
168  ,-7.14299e+001  ,-3.18370e+002  ,2.49641e-003  ,3.26284e+002
169  ,-7.14257e+001  ,-3.18361e+002  ,2.75881e-003  ,3.26275e+002
170  ,-7.14220e+001  ,-3.18354e+002  ,3.02255e-003  ,3.26268e+002
171  ,-7.14183e+001  ,-3.18350e+002  ,3.35891e-003  ,3.26262e+002
172  ,-7.22409e+001  ,-3.21100e+002  ,3.29787e-003  ,3.29126e+002
173  ,-7.32716e+001  ,-3.24542e+002  ,3.23165e-003  ,3.32710e+002
174  ,-7.45636e+001  ,-3.28849e+002  ,3.35974e-003  ,3.37196e+002
175  ,-7.61839e+001  ,-3.34240e+002  ,3.81657e-003  ,3.42813e+002
176  ,-7.97134e+001  ,-3.45953e+002  ,4.97004e-003  ,3.55018e+002
177  ,-8.32614e+001  ,-3.57691e+002  ,5.75609e-003  ,3.67254e+002
178  ,-8.49026e+001  ,-3.63112e+002  ,5.78495e-003  ,3.72906e+002
179  ,-8.62171e+001  ,-3.67451e+002  ,5.53199e-003  ,3.77430e+002
