20:01, Friday, January 18, 2019
Study name:Static 1 triangle tension
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
48  ,3.44050e-006  ,-1.58149e-006  ,-2.35524e-007  ,-2.40546e-008  ,-8.18216e-007  ,1.03613e-007
49  ,3.44411e-006  ,-1.53997e-006  ,-3.24471e-007  ,-7.74684e-009  ,-2.48188e-007  ,3.13926e-008
50  ,3.31696e-006  ,-1.38570e-006  ,-5.26181e-007  ,1.10346e-008  ,4.32029e-008  ,-1.18560e-009
51  ,3.42207e-006  ,-1.58735e-006  ,-2.46154e-007  ,5.46158e-009  ,-6.07744e-007  ,3.10089e-008
52  ,2.67125e-006  ,-1.79900e-006  ,8.95599e-007  ,9.77263e-008  ,3.60885e-006  ,4.43515e-008
53  ,6.21493e-006  ,-3.68439e-006  ,1.11561e-006  ,-3.54368e-007  ,8.71079e-006  ,2.54322e-007
54  ,2.25369e-006  ,-1.32562e-006  ,4.47463e-007  ,5.76882e-008  ,1.23691e-006  ,-3.19446e-008
55  ,2.88080e-006  ,-1.55110e-006  ,3.39346e-007  ,3.46429e-008  ,1.82729e-006  ,9.37498e-009
56  ,3.70303e-006  ,-1.36102e-006  ,-8.86966e-007  ,1.66927e-007  ,-2.03151e-006  ,-4.17449e-008
57  ,4.46367e-006  ,-3.13562e-006  ,2.02780e-006  ,8.48364e-008  ,9.49500e-006  ,-2.21602e-010
58  ,2.70330e-006  ,-2.31877e-006  ,2.05052e-006  ,7.33125e-008  ,7.27875e-006  ,4.73322e-008
59  ,2.04008e-006  ,-1.10131e-006  ,1.44648e-007  ,-4.95218e-009  ,-2.91114e-006  ,-4.45233e-008
60  ,5.05667e-008  ,1.59068e-007  ,-3.50144e-007  ,3.41369e-009  ,-5.93100e-007  ,6.11405e-009
61  ,3.06392e-006  ,-1.25027e-006  ,-5.80392e-007  ,9.61959e-009  ,-8.65543e-007  ,2.54701e-008
62  ,3.28496e-006  ,-1.37947e-006  ,-4.89023e-007  ,9.27457e-009  ,-8.40824e-007  ,2.54384e-008
63  ,3.43585e-006  ,-1.62693e-006  ,5.71094e-008  ,-1.52770e-007  ,-1.64996e-006  ,-3.83474e-008
64  ,1.92987e-006  ,-1.09205e-006  ,1.93218e-007  ,1.59852e-009  ,-2.92550e-006  ,6.29129e-008
65  ,2.42521e-006  ,-1.12601e-006  ,-1.90381e-007  ,-3.94477e-008  ,-2.03836e-006  ,-4.25412e-008
66  ,3.35903e-006  ,-1.55615e-006  ,-8.80524e-008  ,5.46131e-008  ,1.48538e-006  ,1.67937e-007
67  ,1.99031e-006  ,-8.91965e-007  ,-2.00240e-007  ,2.63922e-008  ,-2.13307e-006  ,-3.77581e-008
68  ,1.82135e-006  ,-8.43718e-007  ,-6.44824e-008  ,7.16445e-008  ,-2.53270e-006  ,-1.08365e-007
69  ,1.52187e-007  ,-6.84512e-008  ,-1.76803e-008  ,-2.28847e-009  ,-4.19388e-008  ,-6.50336e-010
70  ,2.59692e-006  ,-1.00590e-006  ,-5.51681e-007  ,-5.49002e-008  ,-1.15003e-006  ,1.68516e-008
71  ,4.52159e-006  ,-1.48456e-006  ,-1.48738e-006  ,-5.30157e-008  ,-4.38945e-007  ,1.64045e-008
72  ,2.13484e-006  ,-8.59012e-007  ,-4.17611e-007  ,-1.13346e-007  ,-1.27802e-006  ,-5.88576e-009
