19:00, Friday, January 18, 2019
Study name:Static 3 Square Diamond Torsion
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
72  ,1.27308e-001  ,-2.93507e+000  ,-1.31084e-003  ,2.93783e+000
73  ,1.29152e-001  ,-2.58199e+000  ,-1.56078e-003  ,2.58521e+000
74  ,1.28742e-001  ,-2.17115e+000  ,-1.48490e-003  ,2.17496e+000
75  ,1.24875e-001  ,-1.70489e+000  ,-1.40587e-003  ,1.70946e+000
76  ,1.05342e-001  ,-8.89924e-001  ,-8.49638e-004  ,8.96138e-001
77  ,7.25711e-002  ,-3.35551e-001  ,1.62631e-003  ,3.43312e-001
78  ,5.53634e-002  ,-1.68298e-001  ,2.08440e-003  ,1.77182e-001
79  ,3.92129e-002  ,-7.72530e-002  ,3.49289e-003  ,8.67057e-002
80  ,2.60053e-002  ,-3.23630e-002  ,4.26333e-003  ,4.17350e-002
81  ,5.93238e-003  ,-1.46913e-002  ,8.93139e-004  ,1.58690e-002
82  ,5.96716e-003  ,-1.48505e-002  ,-1.02861e-003  ,1.60375e-002
83  ,1.10524e-002  ,-3.21519e-002  ,-3.10578e-003  ,3.41401e-002
84  ,2.11858e-002  ,-7.30962e-002  ,-4.39405e-003  ,7.62312e-002
85  ,3.66247e-002  ,-1.58866e-001  ,-5.76428e-003  ,1.63135e-001
86  ,5.52552e-002  ,-3.19565e-001  ,-7.14194e-003  ,3.24385e-001
87  ,7.65595e-002  ,-6.24883e-001  ,-8.21899e-003  ,6.29609e-001
88  ,9.46111e-002  ,-1.03225e+000  ,-9.74755e-003  ,1.03662e+000
89  ,1.07178e-001  ,-1.54058e+000  ,-1.04179e-002  ,1.54434e+000
90  ,1.12970e-001  ,-2.14723e+000  ,-1.01499e-002  ,2.15022e+000
91  ,1.13950e-001  ,-2.66771e+000  ,-1.06692e-002  ,2.67016e+000
92  ,1.11084e-001  ,-3.12347e+000  ,-1.06771e-002  ,3.12547e+000
93  ,1.06280e-001  ,-3.51331e+000  ,-8.99573e-003  ,3.51493e+000
94  ,1.08714e-001  ,-3.84446e+000  ,-5.82477e-003  ,3.84600e+000
95  ,1.10476e-001  ,-4.16358e+000  ,-7.70057e-003  ,4.16505e+000
96  ,1.02665e-001  ,-4.58749e+000  ,-7.04630e-003  ,4.58865e+000
97  ,8.94815e-002  ,-5.15086e+000  ,-5.23611e-003  ,5.15164e+000
98  ,6.62112e-002  ,-5.90488e+000  ,-4.39087e-003  ,5.90525e+000
99  ,2.34430e-002  ,-7.08260e+000  ,-1.86908e-003  ,7.08264e+000
100  ,-3.45106e-002  ,-8.36955e+000  ,-1.13778e-003  ,8.36962e+000
