20:21, Friday, January 18, 2019
Study name:Static 3 triangle torsion
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
48  ,-1.26949e-003  ,4.89215e-004  ,2.75382e-004  ,2.06501e-004  ,2.35024e-004  ,1.64099e-004
49  ,-1.36382e-003  ,5.08214e-004  ,3.32021e-004  ,1.88915e-004  ,7.53464e-005  ,3.95013e-005
50  ,-8.22711e-004  ,3.18612e-004  ,1.76833e-004  ,3.03118e-004  ,1.95083e-005  ,1.82282e-005
51  ,-3.61947e-004  ,1.36356e-004  ,8.35984e-005  ,2.28029e-004  ,4.46046e-005  ,1.73165e-004
52  ,-6.82515e-006  ,4.65172e-006  ,1.14055e-006  ,-1.20615e-006  ,-6.73874e-006  ,-9.82332e-007
53  ,-3.38855e-006  ,6.75827e-006  ,8.69210e-006  ,-3.45525e-005  ,3.77138e-005  ,-2.64835e-005
54  ,3.28169e-006  ,-4.24825e-006  ,1.70035e-005  ,-2.99152e-005  ,4.29619e-005  ,-2.95956e-005
55  ,1.48941e-006  ,-9.35649e-007  ,1.30982e-005  ,-2.85085e-005  ,3.46254e-005  ,-2.53687e-005
56  ,-3.79281e-007  ,3.61909e-006  ,4.89116e-006  ,-2.11478e-005  ,1.87425e-005  ,-1.44296e-005
57  ,4.08516e-006  ,-4.55854e-007  ,1.55520e-005  ,-3.77653e-005  ,4.95959e-005  ,-4.11381e-005
58  ,1.39478e-006  ,-2.29680e-006  ,1.52550e-005  ,-2.69418e-005  ,3.82762e-005  ,-3.08036e-005
59  ,1.52672e-005  ,3.10020e-006  ,6.83289e-006  ,-6.87008e-005  ,-2.17373e-004  ,1.20714e-004
60  ,1.70256e-004  ,-5.21853e-005  ,-2.84458e-005  ,-1.08253e-004  ,3.34242e-004  ,-9.96895e-005
61  ,2.01436e-004  ,-9.50206e-005  ,-2.84127e-005  ,3.04741e-004  ,-6.99538e-005  ,-1.29930e-004
62  ,4.22481e-005  ,-4.49987e-006  ,-1.71966e-005  ,3.61025e-004  ,-1.93025e-005  ,-1.55434e-005
63  ,1.14520e-003  ,-5.01515e-004  ,-1.19168e-004  ,1.60548e-004  ,-6.12842e-004  ,4.23443e-004
64  ,9.84131e-004  ,-4.99202e-004  ,-6.13630e-005  ,1.08848e-004  ,-1.60561e-003  ,-2.23440e-005
