20:20, Friday, January 18, 2019
Study name:Static 3 triangle torsion
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
72  ,7.84770e-003  ,-2.84962e-002  ,1.88863e-003  ,2.96173e-002
73  ,1.19324e-002  ,-4.34291e-002  ,3.33860e-003  ,4.51621e-002
74  ,2.36664e-002  ,-9.56093e-002  ,6.07084e-003  ,9.86817e-002
75  ,5.07696e-002  ,-2.95830e-001  ,8.75215e-003  ,3.00283e-001
76  ,7.57108e-002  ,-6.36189e-001  ,1.10336e-002  ,6.40773e-001
77  ,9.54051e-002  ,-1.10410e+000  ,1.26677e-002  ,1.10828e+000
78  ,1.08440e-001  ,-1.69500e+000  ,1.35990e-002  ,1.69852e+000
79  ,1.13332e-001  ,-2.30185e+000  ,1.39594e-002  ,2.30468e+000
80  ,1.11400e-001  ,-2.99481e+000  ,1.39789e-002  ,2.99691e+000
81  ,1.01805e-001  ,-3.77151e+000  ,1.38008e-002  ,3.77291e+000
82  ,7.96456e-002  ,-4.78854e+000  ,1.26198e-002  ,4.78922e+000
83  ,6.46265e-002  ,-5.33879e+000  ,1.33483e-002  ,5.33920e+000
84  ,4.96522e-002  ,-5.79883e+000  ,1.30295e-002  ,5.79905e+000
85  ,3.69372e-002  ,-6.18094e+000  ,1.20526e-002  ,6.18106e+000
86  ,3.34327e-002  ,-6.49982e+000  ,8.30634e-003  ,6.49991e+000
87  ,-5.68983e-001  ,-6.46325e+000  ,-4.82650e-003  ,6.48825e+000
88  ,-5.30939e-001  ,-6.14858e+000  ,-8.98903e-003  ,6.17147e+000
89  ,-4.97501e-001  ,-5.76857e+000  ,-1.02021e-002  ,5.78999e+000
90  ,-4.59734e-001  ,-5.31112e+000  ,-1.11635e-002  ,5.33100e+000
91  ,-4.14571e-001  ,-4.76381e+000  ,-1.11581e-002  ,4.78182e+000
92  ,-3.34420e-001  ,-3.75232e+000  ,-1.17377e-002  ,3.76721e+000
93  ,-2.74987e-001  ,-2.97975e+000  ,-1.17829e-002  ,2.99243e+000
94  ,-2.22722e-001  ,-2.29044e+000  ,-1.14381e-002  ,2.30128e+000
95  ,-1.76896e-001  ,-1.68676e+000  ,-1.07684e-002  ,1.69605e+000
96  ,-1.30723e-001  ,-1.09890e+000  ,-9.67157e-003  ,1.10669e+000
97  ,-9.06086e-002  ,-6.33361e-001  ,-8.23473e-003  ,6.39863e-001
98  ,-5.49936e-002  ,-2.94603e-001  ,-6.54073e-003  ,2.99764e-001
99  ,-2.39771e-002  ,-9.53488e-002  ,-4.55590e-003  ,9.84228e-002
100  ,-1.14535e-002  ,-4.29488e-002  ,-2.67354e-003  ,4.45301e-002
101  ,-7.58344e-003  ,-2.83406e-002  ,-1.28530e-003  ,2.93658e-002
102  ,-5.86743e-003  ,-2.14025e-002  ,-2.40746e-004  ,2.21935e-002
103  ,-5.60545e-003  ,-1.85512e-002  ,6.60448e-004  ,1.93908e-002
104  ,1.50295e-002  ,-2.59593e-002  ,-2.95139e-003  ,3.01410e-002
105  ,-2.99425e-005  ,-2.43272e-002  ,5.85922e-005  ,2.43273e-002
106  ,-1.54384e-002  ,-2.59284e-002  ,3.02817e-003  ,3.03282e-002
107  ,-2.46124e-002  ,-4.51307e-002  ,4.82956e-003  ,5.16321e-002
108  ,-3.41259e-002  ,-7.85895e-002  ,5.41887e-003  ,8.58501e-002
109  ,-4.59237e-002  ,-1.35443e-001  ,5.65409e-003  ,1.43129e-001
110  ,-6.10608e-002  ,-2.29762e-001  ,5.81942e-003  ,2.37809e-001
111  ,-9.31539e-002  ,-4.95091e-001  ,6.08109e-003  ,5.03815e-001
112  ,-1.68077e-001  ,-1.32766e+000  ,6.93910e-003  ,1.33827e+000
113  ,-2.72528e-001  ,-2.66112e+000  ,7.99880e-003  ,2.67505e+000
114  ,-4.11354e-001  ,-4.43935e+000  ,9.34764e-003  ,4.45838e+000
115  ,-5.93446e-001  ,-6.65037e+000  ,1.10190e-002  ,6.67681e+000
116  ,-7.91674e-001  ,-8.90475e+000  ,1.28483e-002  ,8.93988e+000
117  ,-1.03353e+000  ,-1.14652e+001  ,1.49185e-002  ,1.15117e+001
118  ,-1.32436e+000  ,-1.43271e+001  ,1.72004e-002  ,1.43882e+001
119  ,-1.72627e+000  ,-1.80103e+001  ,2.02758e-002  ,1.80928e+001
120  ,-1.95516e+000  ,-1.99950e+001  ,2.19910e-002  ,2.00904e+001
121  ,-2.15221e+000  ,-2.16498e+001  ,2.34416e-002  ,2.17565e+001
122  ,-2.31901e+000  ,-2.30159e+001  ,2.45791e-002  ,2.31324e+001
123  ,-2.45905e+000  ,-2.41350e+001  ,2.54806e-002  ,2.42600e+001
124  ,-1.32311e+000  ,-2.42658e+001  ,7.18109e-003  ,2.43019e+001
125  ,-1.20840e+000  ,-2.31408e+001  ,6.19326e-003  ,2.31723e+001
126  ,-1.07156e+000  ,-2.17680e+001  ,5.16282e-003  ,2.17944e+001
127  ,-9.12373e-001  ,-2.01050e+001  ,4.03294e-003  ,2.01257e+001
128  ,-7.31587e-001  ,-1.81102e+001  ,2.69858e-003  ,1.81249e+001
129  ,-4.28530e-001  ,-1.44080e+001  ,3.52834e-004  ,1.44143e+001
130  ,-2.26838e-001  ,-1.15308e+001  ,-1.21753e-003  ,1.15330e+001
131  ,-7.53302e-002  ,-8.95637e+000  ,-2.53467e-003  ,8.95669e+000
132  ,3.14623e-002  ,-6.68946e+000  ,-3.65635e-003  ,6.68954e+000
133  ,1.03588e-001  ,-4.46581e+000  ,-4.61985e-003  ,4.46702e+000
134  ,1.29311e-001  ,-2.67720e+000  ,-5.19822e-003  ,2.68032e+000
135  ,1.17575e-001  ,-1.33574e+000  ,-5.48133e-003  ,1.34091e+000
136  ,8.18048e-002  ,-4.98063e-001  ,-5.46602e-003  ,5.04766e-001
137  ,5.75619e-002  ,-2.31169e-001  ,-5.45410e-003  ,2.38291e-001
138  ,4.43698e-002  ,-1.36284e-001  ,-5.37928e-003  ,1.43426e-001
139  ,3.34269e-002  ,-7.90733e-002  ,-5.19617e-003  ,8.60055e-002
140  ,2.43897e-002  ,-4.54012e-002  ,-4.65639e-003  ,5.17476e-002
141  ,-1.51562e-002  ,-2.63407e-002  ,-2.69516e-003  ,3.05091e-002
142  ,8.30853e-006  ,-2.48011e-002  ,4.75648e-005  ,2.48011e-002
143  ,1.52406e-002  ,-2.65358e-002  ,2.84191e-003  ,3.07328e-002
144  ,2.45020e-002  ,-4.61385e-002  ,4.46564e-003  ,5.24314e-002
145  ,3.36354e-002  ,-8.01094e-002  ,4.88382e-003  ,8.70213e-002
146  ,4.45744e-002  ,-1.37755e-001  ,4.89719e-003  ,1.44870e-001
147  ,5.78168e-002  ,-2.33169e-001  ,4.80266e-003  ,2.40279e-001
148  ,8.20327e-002  ,-5.01028e-001  ,4.66331e-003  ,5.07721e-001
149  ,1.17806e-001  ,-1.34068e+000  ,4.51852e-003  ,1.34586e+000
150  ,1.29317e-001  ,-2.68413e+000  ,4.57335e-003  ,2.68724e+000
151  ,1.03463e-001  ,-4.47483e+000  ,4.91064e-003  ,4.47602e+000
152  ,3.10377e-002  ,-6.70044e+000  ,5.61107e-003  ,6.70052e+000
153  ,-7.60791e-002  ,-8.96911e+000  ,6.43324e-003  ,8.96944e+000
154  ,-2.27925e-001  ,-1.15452e+001  ,7.60186e-003  ,1.15475e+001
155  ,-4.30057e-001  ,-1.44242e+001  ,9.11571e-003  ,1.44306e+001
156  ,-7.33601e-001  ,-1.81285e+001  ,1.11594e-002  ,1.81433e+001
157  ,-9.14668e-001  ,-2.01243e+001  ,1.23176e-002  ,2.01450e+001
158  ,-1.07414e+000  ,-2.17882e+001  ,1.33082e-002  ,2.18146e+001
159  ,-1.21122e+000  ,-2.31617e+001  ,1.40611e-002  ,2.31934e+001
160  ,-1.32612e+000  ,-2.42874e+001  ,1.45026e-002  ,2.43235e+001
161  ,-2.46301e+000  ,-2.41565e+001  ,1.82825e-002  ,2.42818e+001
162  ,-2.32210e+000  ,-2.30367e+001  ,1.66985e-002  ,2.31535e+001
163  ,-2.15508e+000  ,-2.16699e+001  ,1.53089e-002  ,2.17768e+001
164  ,-1.95779e+000  ,-2.00143e+001  ,1.37224e-002  ,2.01098e+001
165  ,-1.72863e+000  ,-1.80285e+001  ,1.18643e-002  ,1.81112e+001
166  ,-1.32621e+000  ,-1.43434e+001  ,8.56788e-003  ,1.44045e+001
167  ,-1.03495e+000  ,-1.14797e+001  ,5.99629e-003  ,1.15263e+001
168  ,-7.92772e-001  ,-8.91750e+000  ,3.75606e-003  ,8.95267e+000
169  ,-5.94195e-001  ,-6.66131e+000  ,1.86954e-003  ,6.68776e+000
170  ,-4.11894e-001  ,-4.44822e+000  ,-1.33801e-004  ,4.46725e+000
171  ,-2.72832e-001  ,-2.66801e+000  ,-1.72690e-003  ,2.68192e+000
172  ,-1.68281e-001  ,-1.33250e+000  ,-3.01941e-003  ,1.34309e+000
173  ,-9.32315e-002  ,-4.98025e-001  ,-4.02749e-003  ,5.06693e-001
174  ,-6.11606e-002  ,-2.31727e-001  ,-4.47465e-003  ,2.39704e-001
175  ,-4.59881e-002  ,-1.36899e-001  ,-4.65808e-003  ,1.44492e-001
