19:56, Thursday, January 17, 2019
Study name:Static 2 Filled Compression
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
48  ,-2.91890e-007  ,9.51691e-008  ,9.86455e-008  ,-1.70571e-011  ,4.63254e-009  ,-9.35373e-012
49  ,-2.91982e-007  ,9.51944e-008  ,9.86449e-008  ,-6.43522e-011  ,4.52124e-009  ,-9.20498e-012
50  ,-2.92051e-007  ,9.53295e-008  ,9.84975e-008  ,9.52810e-011  ,4.96467e-009  ,-6.86251e-011
51  ,-2.65870e-007  ,1.11598e-007  ,3.92748e-008  ,3.98440e-011  ,-2.52644e-008  ,-8.04620e-011
52  ,-2.92156e-007  ,9.53727e-008  ,9.85388e-008  ,5.68092e-011  ,4.64865e-009  ,-5.97766e-011
53  ,-2.91929e-007  ,9.52366e-008  ,9.85772e-008  ,-6.55366e-011  ,4.81668e-009  ,-4.53773e-011
54  ,-2.91499e-007  ,9.41364e-008  ,1.00432e-007  ,1.96213e-011  ,1.73399e-009  ,-2.15882e-011
55  ,-2.91485e-007  ,9.42621e-008  ,1.00192e-007  ,1.69503e-011  ,2.10126e-009  ,5.28914e-011
56  ,-2.91423e-007  ,9.42262e-008  ,1.00047e-007  ,3.25456e-012  ,2.31265e-009  ,-5.36891e-011
57  ,-2.91495e-007  ,9.42752e-008  ,1.00103e-007  ,7.02152e-011  ,2.21831e-009  ,-3.66835e-013
58  ,-2.91672e-007  ,9.38883e-008  ,1.01046e-007  ,2.49210e-011  ,1.01640e-009  ,-9.55539e-012
59  ,-2.91444e-007  ,9.40318e-008  ,1.00196e-007  ,-1.05382e-011  ,2.12795e-009  ,9.30842e-012
60  ,-2.91413e-007  ,9.42494e-008  ,1.00180e-007  ,1.44956e-011  ,1.88025e-009  ,-3.77620e-011
61  ,-2.93684e-007  ,9.82195e-008  ,9.42321e-008  ,-4.99050e-011  ,3.81655e-009  ,1.26446e-011
62  ,-2.90574e-007  ,1.00629e-007  ,8.62657e-008  ,2.82002e-011  ,-9.97561e-009  ,3.64822e-012
63  ,-2.93504e-007  ,9.82854e-008  ,9.39685e-008  ,-5.67928e-012  ,3.69210e-009  ,-1.02142e-010
64  ,-2.93492e-007  ,9.81777e-008  ,9.41481e-008  ,1.41450e-011  ,3.90171e-009  ,-4.81295e-011
65  ,-2.93590e-007  ,9.81912e-008  ,9.42645e-008  ,-1.49126e-011  ,3.93386e-009  ,-5.35925e-011
66  ,-2.93680e-007  ,9.83612e-008  ,9.39374e-008  ,1.63155e-011  ,3.45624e-009  ,-1.48784e-011
67  ,-2.93650e-007  ,9.84824e-008  ,9.37078e-008  ,-7.75267e-012  ,3.26958e-009  ,-4.72982e-011
68  ,-2.93734e-007  ,9.83626e-008  ,9.40557e-008  ,-6.75096e-012  ,3.47234e-009  ,-3.92166e-011
69  ,-2.91908e-007  ,9.36458e-008  ,1.01767e-007  ,-3.88054e-011  ,-1.47522e-010  ,-3.78985e-011
70  ,-2.91092e-007  ,9.67813e-008  ,9.46138e-008  ,-1.45759e-011  ,-6.70385e-009  ,-3.83247e-011
71  ,-2.92020e-007  ,9.34972e-008  ,1.02208e-007  ,4.97427e-011  ,-7.39649e-011  ,-6.25639e-012
72  ,-2.80710e-007  ,1.06834e-007  ,6.38952e-008  ,1.41305e-012  ,1.29107e-008  ,1.84941e-011
73  ,-2.91783e-007  ,9.39554e-008  ,1.01026e-007  ,5.90119e-011  ,-2.47085e-010  ,-7.96750e-011
74  ,-2.91865e-007  ,9.36656e-008  ,1.01625e-007  ,1.02415e-011  ,4.75168e-011  ,5.41594e-013
75  ,-2.91876e-007  ,9.36948e-008  ,1.01623e-007  ,5.26966e-012  ,-3.37884e-011  ,2.37784e-012
76  ,-2.91282e-007  ,9.76814e-008  ,9.29145e-008  ,-3.53152e-012  ,3.16417e-009  ,-9.78727e-011
77  ,-2.91258e-007  ,9.75996e-008  ,9.31008e-008  ,-6.71974e-012  ,3.53650e-009  ,-8.74941e-011
78  ,-2.47344e-007  ,1.16629e-007  ,1.04980e-008  ,-6.33010e-011  ,-3.61844e-008  ,4.65473e-011
79  ,-2.91071e-007  ,9.79279e-008  ,9.22146e-008  ,-8.53482e-011  ,1.40378e-009  ,-4.43479e-012
80  ,-2.90892e-007  ,9.74016e-008  ,9.31000e-008  ,-2.12527e-011  ,3.47324e-009  ,7.17288e-012
81  ,-2.90457e-007  ,1.00909e-007  ,8.55650e-008  ,3.12041e-012  ,-1.08673e-008  ,5.00592e-011
82  ,-2.93075e-007  ,9.95040e-008  ,9.11025e-008  ,1.03859e-012  ,6.69468e-010  ,-6.45519e-011
83  ,-2.90341e-007  ,1.00944e-007  ,8.54184e-008  ,3.69175e-013  ,-1.15808e-008  ,-2.10107e-011
84  ,-2.89924e-007  ,1.00756e-007  ,8.53300e-008  ,-6.48939e-011  ,-1.63382e-008  ,-3.90466e-012
85  ,-2.93036e-007  ,9.96864e-008  ,9.06941e-008  ,-4.08362e-011  ,3.03804e-010  ,-2.10521e-011
86  ,-2.93130e-007  ,9.96569e-008  ,9.08231e-008  ,1.28534e-011  ,5.11821e-010  ,-2.27669e-011
87  ,-2.93205e-007  ,9.94900e-008  ,9.11565e-008  ,2.82903e-011  ,7.80816e-010  ,2.91875e-011
88  ,-2.93190e-007  ,9.94077e-008  ,9.12807e-008  ,-9.41116e-012  ,7.93071e-010  ,-2.10551e-011
89  ,-2.88455e-007  ,9.49510e-008  ,9.56872e-008  ,-4.62872e-011  ,5.67754e-009  ,3.40972e-012
90  ,-2.93073e-007  ,9.94943e-008  ,9.10748e-008  ,5.80345e-011  ,5.53038e-010  ,-2.71728e-011
91  ,-2.93038e-007  ,9.96960e-008  ,9.06284e-008  ,-2.66502e-011  ,2.01612e-010  ,-1.23724e-011
92  ,-2.93122e-007  ,9.96050e-008  ,9.08716e-008  ,1.90866e-012  ,6.03478e-010  ,-3.50055e-011
93  ,-2.90903e-007  ,1.00058e-007  ,8.78028e-008  ,-5.82963e-012  ,-7.35585e-009  ,4.89173e-011
94  ,-2.93687e-007  ,9.94326e-008  ,9.17628e-008  ,-1.27992e-011  ,1.07891e-009  ,2.95977e-011
95  ,-2.93626e-007  ,9.95773e-008  ,9.14935e-008  ,-3.71797e-011  ,9.04815e-010  ,7.73241e-012
96  ,-2.93520e-007  ,9.95726e-008  ,9.13296e-008  ,2.13133e-011  ,8.37279e-010  ,7.75858e-011
97  ,-2.93577e-007  ,9.95149e-008  ,9.15420e-008  ,-5.56387e-012  ,9.64535e-010  ,5.46844e-012
98  ,-2.88786e-007  ,9.49778e-008  ,9.59395e-008  ,-5.23266e-012  ,5.95477e-009  ,-4.57808e-011
99  ,-2.93460e-007  ,9.93233e-008  ,9.18429e-008  ,1.37448e-011  ,1.35074e-009  ,-7.47483e-011
