19:53, Friday, January 18, 2019
Study name:Static 3 hex diamond torsion
Units: mm
Selected reference : Front Plane
Node  ,UX  ,UY  ,UZ  ,URES
72  ,-1.33802e-001  ,-1.10259e+000  ,-1.12868e-002  ,1.11074e+000
73  ,-1.01500e-001  ,-7.32295e-001  ,-1.02327e-002  ,7.39367e-001
74  ,-7.24923e-002  ,-4.36070e-001  ,-9.17253e-003  ,4.42149e-001
75  ,-3.60390e-002  ,-1.56216e-001  ,-6.41498e-003  ,1.60447e-001
76  ,-1.87548e-002  ,-7.06869e-002  ,-5.05357e-003  ,7.33070e-002
77  ,-8.61574e-003  ,-2.98818e-002  ,-3.57562e-003  ,3.13040e-002
78  ,-4.14801e-003  ,-1.20496e-002  ,-2.38875e-003  ,1.29655e-002
79  ,1.79321e-003  ,-4.62840e-003  ,-1.09147e-003  ,5.08222e-003
80  ,-1.66596e-003  ,-4.45912e-003  ,1.00581e-003  ,4.86527e-003
81  ,-3.99477e-003  ,-1.16357e-002  ,2.28967e-003  ,1.25136e-002
82  ,-9.00063e-003  ,-2.91408e-002  ,3.86422e-003  ,3.07430e-002
83  ,-1.78159e-002  ,-6.76675e-002  ,5.02770e-003  ,7.01540e-002
84  ,-3.48057e-002  ,-1.50984e-001  ,6.82667e-003  ,1.55095e-001
85  ,-6.96377e-002  ,-4.24165e-001  ,9.77147e-003  ,4.29954e-001
86  ,-9.78277e-002  ,-7.13921e-001  ,1.21770e-002  ,7.20695e-001
87  ,-1.28753e-001  ,-1.07759e+000  ,1.40531e-002  ,1.08535e+000
88  ,-1.76448e-001  ,-1.68562e+000  ,1.59808e-002  ,1.69491e+000
89  ,-2.03337e-001  ,-2.03754e+000  ,1.72380e-002  ,2.04773e+000
90  ,-2.27134e-001  ,-2.34309e+000  ,1.65973e-002  ,2.35413e+000
91  ,-2.50397e-001  ,-2.60477e+000  ,1.62308e-002  ,2.61682e+000
92  ,-2.84704e-001  ,-2.83123e+000  ,1.17886e-002  ,2.84553e+000
93  ,1.31511e-001  ,-2.84899e+000  ,-6.44317e-003  ,2.85204e+000
94  ,1.14446e-001  ,-2.61821e+000  ,-1.13905e-002  ,2.62074e+000
95  ,1.12541e-001  ,-2.35477e+000  ,-1.21790e-002  ,2.35749e+000
96  ,1.11211e-001  ,-2.04768e+000  ,-1.34970e-002  ,2.05074e+000
97  ,1.07618e-001  ,-1.69381e+000  ,-1.29689e-002  ,1.69727e+000
98  ,9.42029e-002  ,-1.08266e+000  ,-1.23880e-002  ,1.08682e+000
99  ,7.96389e-002  ,-7.17143e-001  ,-1.14201e-002  ,7.21642e-001
100  ,6.14897e-002  ,-4.25835e-001  ,-9.57182e-003  ,4.30358e-001
101  ,3.32047e-002  ,-1.51299e-001  ,-6.98790e-003  ,1.55058e-001
102  ,1.75678e-002  ,-6.79957e-002  ,-5.25210e-003  ,7.04246e-002
103  ,8.61508e-003  ,-2.88668e-002  ,-3.83296e-003  ,3.03678e-002
104  ,3.81232e-003  ,-1.15558e-002  ,-2.36896e-003  ,1.23969e-002
105  ,-3.38409e+000  ,-3.02877e+001  ,2.94505e-002  ,3.04762e+001
106  ,-2.07844e+000  ,-3.04610e+001  ,6.38053e-003  ,3.05318e+001
107  ,-2.15943e+000  ,-3.10952e+001  ,6.00090e-003  ,3.11701e+001
108  ,-2.25878e+000  ,-3.18945e+001  ,6.25476e-003  ,3.19744e+001
109  ,-2.38510e+000  ,-3.29030e+001  ,6.73300e-003  ,3.29893e+001
110  ,-2.54683e+000  ,-3.41783e+001  ,7.62436e-003  ,3.42731e+001
111  ,-2.88455e+000  ,-3.67821e+001  ,9.32739e-003  ,3.68951e+001
112  ,-3.11752e+000  ,-3.85336e+001  ,1.11216e-002  ,3.86595e+001
