19:59, Thursday, January 17, 2019
Study name:Static 3 Filled Torsion
Units: N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
47  ,-3.03210e+007  ,-1.49368e+007  ,-1.48639e+007  ,-2.90534e+005  ,1.39333e+005  ,-7.89042e+004
48  ,-2.77596e+007  ,-9.94820e+006  ,-1.24273e+007  ,1.45222e+005  ,1.96254e+005  ,1.56195e+005
49  ,-2.61367e+007  ,-7.33121e+006  ,-1.09819e+007  ,4.79733e+005  ,2.22437e+005  ,-5.33153e+004
50  ,-2.53080e+007  ,-7.02462e+006  ,-1.06072e+007  ,4.20106e+005  ,2.71649e+005  ,-8.08105e+004
51  ,-2.38997e+007  ,-6.55383e+006  ,-9.96701e+006  ,3.37438e+005  ,3.37837e+005  ,-1.22159e+005
52  ,-2.18971e+007  ,-6.80401e+006  ,-9.29547e+006  ,2.68270e+005  ,4.94694e+005  ,-3.18668e+005
53  ,-1.80876e+007  ,-8.91037e+006  ,-8.90933e+006  ,3.71286e+005  ,2.07529e+005  ,4.81037e+001
54  ,-1.41253e+007  ,-4.14238e+006  ,-5.86970e+006  ,1.49523e+005  ,8.04572e+005  ,-7.99795e+004
55  ,-9.18990e+006  ,-2.66475e+006  ,-3.43988e+006  ,4.40085e+005  ,1.43156e+006  ,-4.15844e+005
56  ,-2.61725e+006  ,-1.12958e+006  ,-9.47903e+005  ,1.20220e+006  ,1.84162e+006  ,-5.32551e+005
57  ,3.54556e+006  ,1.74706e+006  ,1.74654e+006  ,4.12835e+006  ,1.35179e+006  ,2.48538e+002
58  ,6.07499e+005  ,7.19753e+005  ,4.38155e+005  ,3.81527e+006  ,-2.57899e+006  ,1.37939e+005
59  ,2.20138e+006  ,7.04137e+005  ,6.53376e+005  ,5.96122e+005  ,-2.46256e+006  ,-1.43848e+005
60  ,1.08522e+007  ,5.24917e+006  ,5.05627e+006  ,-2.21287e+005  ,-1.28197e+006  ,-2.16490e+005
61  ,1.66977e+007  ,8.13427e+006  ,7.95513e+006  ,-6.84006e+005  ,-5.08739e+005  ,-5.87199e+004
62  ,1.92252e+007  ,5.66828e+006  ,8.64872e+006  ,5.94642e+005  ,-1.41251e+005  ,-6.36867e+004
63  ,2.24546e+007  ,7.49235e+006  ,9.84251e+006  ,1.02097e+005  ,-1.85050e+005  ,9.51029e+004
