20:00, Thursday, January 17, 2019
Study name:Static 3 Filled Torsion
Units: 
Selected reference : Front Plane
Element  ,EPSX  ,EPSY  ,EPSZ  ,GMXY  ,GMXZ  ,GMYZ
48  ,-4.72340e-005  ,1.84699e-005  ,8.87745e-006  ,7.97577e-006  ,5.45986e-006  ,-2.74727e-007
49  ,-4.79170e-005  ,1.95669e-005  ,8.73823e-006  ,8.04085e-006  ,5.15989e-006  ,-3.12696e-007
50  ,-2.13738e-006  ,-2.33169e-007  ,1.99800e-006  ,-9.11492e-007  ,4.59399e-006  ,-1.86754e-007
51  ,-4.77050e-006  ,1.88694e-006  ,4.36454e-007  ,-9.53453e-007  ,-5.03000e-008  ,1.46714e-007
52  ,3.11775e-005  ,-1.40064e-005  ,-2.44279e-006  ,-6.63380e-006  ,3.77494e-006  ,-2.12440e-007
53  ,-1.72071e-005  ,6.17933e-006  ,4.45372e-006  ,2.45012e-006  ,4.97975e-006  ,-2.95861e-007
54  ,1.51243e-006  ,-3.38861e-006  ,5.64158e-006  ,-1.99301e-006  ,7.53531e-007  ,2.46110e-007
55  ,2.11129e-006  ,-3.55926e-006  ,4.92264e-006  ,-2.15592e-006  ,1.11725e-006  ,2.38186e-007
56  ,-7.26807e-006  ,-1.10114e-007  ,8.32754e-006  ,-5.29969e-007  ,3.47327e-006  ,-6.28957e-008
57  ,-2.27797e-006  ,-1.76134e-006  ,6.33917e-006  ,-1.02193e-006  ,2.22561e-006  ,-8.34313e-008
58  ,-8.14602e-006  ,-1.70181e-006  ,1.12608e-005  ,6.77097e-007  ,2.88645e-006  ,-3.51108e-007
59  ,-1.62302e-005  ,2.32347e-006  ,1.22387e-005  ,2.21163e-006  ,5.61873e-006  ,-3.39467e-007
60  ,1.48464e-006  ,-3.20626e-006  ,5.32267e-006  ,-2.10428e-006  ,7.76576e-007  ,2.30087e-007
61  ,-4.06513e-005  ,1.86527e-005  ,8.92672e-007  ,3.33031e-006  ,1.16505e-006  ,2.77189e-007
62  ,4.93795e-005  ,-2.19349e-005  ,-4.99276e-006  ,-7.07598e-006  ,3.58042e-006  ,1.95117e-007
63  ,-4.10047e-005  ,1.99242e-005  ,8.74275e-007  ,5.85698e-006  ,1.09319e-006  ,-1.27900e-007
64  ,3.61009e-005  ,-1.62902e-005  ,-3.73281e-006  ,-5.71033e-006  ,3.91300e-006  ,1.67073e-007
65  ,3.60228e-005  ,-1.52552e-005  ,-3.77149e-006  ,-7.37829e-006  ,3.93272e-006  ,-2.35361e-007
66  ,-1.18512e-004  ,5.56535e-005  ,5.27820e-006  ,1.66996e-005  ,-1.69042e-006  ,1.77215e-007
67  ,-4.11803e-005  ,1.99838e-005  ,7.38197e-007  ,4.22932e-006  ,8.02962e-007  ,5.52264e-009
68  ,-4.09002e-005  ,1.93140e-005  ,8.66390e-007  ,5.55130e-006  ,9.89019e-007  ,1.25690e-007
69  ,-1.13182e-005  ,-1.03618e-006  ,1.29832e-005  ,1.27865e-006  ,-3.95171e-007  ,1.67919e-008
70  ,-3.15888e-006  ,1.89436e-006  ,-7.32761e-007  ,-4.07695e-007  ,-4.66826e-006  ,-1.87185e-007
71  ,-3.27498e-006  ,-2.83512e-006  ,9.60365e-006  ,-9.72338e-007  ,-7.93247e-008  ,1.17639e-007
72  ,5.68436e-005  ,-2.76519e-005  ,-6.30340e-007  ,-6.53456e-006  ,-8.16010e-007  ,1.73860e-007
73  ,-2.54405e-006  ,-2.64408e-006  ,7.41475e-006  ,-9.83024e-007  ,-2.58334e-007  ,1.75068e-007
74  ,5.17953e-006  ,-5.10282e-006  ,4.92128e-006  ,-1.64229e-006  ,1.98316e-007  ,-2.17705e-008
75  ,-6.09469e-006  ,-2.07345e-006  ,1.01876e-005  ,3.00352e-008  ,-2.18020e-007  ,-3.10143e-007
76  ,-4.49778e-005  ,2.02239e-005  ,3.85067e-006  ,4.77761e-006  ,3.28896e-007  ,7.18840e-007
77  ,4.27638e-005  ,-1.81891e-005  ,-6.32615e-006  ,-5.75884e-006  ,5.24160e-006  ,1.26878e-007
78  ,-4.28082e-006  ,1.56402e-006  ,4.02155e-007  ,-6.30552e-007  ,-5.71328e-007  ,1.79734e-007
79  ,5.31406e-005  ,-2.26701e-005  ,-7.50127e-006  ,-7.94800e-006  ,5.59751e-006  ,-2.95053e-007
80  ,1.30478e-004  ,-5.53776e-005  ,-1.71798e-005  ,-1.74107e-005  ,1.04391e-005  ,-5.36812e-007
81  ,-5.60581e-005  ,2.60544e-005  ,3.09220e-006  ,5.61355e-006  ,-3.28460e-006  ,2.38344e-007
82  ,-4.46620e-005  ,2.18196e-005  ,3.58886e-007  ,5.74220e-006  ,-1.21742e-008  ,3.30256e-007
83  ,-1.61919e-004  ,7.38391e-005  ,1.07661e-005  ,1.57571e-005  ,-9.52061e-006  ,4.09221e-007
84  ,-6.01628e-005  ,2.62157e-005  ,4.80598e-006  ,3.63155e-006  ,-4.87606e-006  ,7.49506e-007
85  ,-4.49128e-005  ,2.29123e-005  ,1.82403e-007  ,4.30403e-006  ,-2.27757e-007  ,5.64627e-007
86  ,-4.43424e-005  ,2.18760e-005  ,2.30652e-007  ,5.72065e-006  ,-7.71173e-008  ,2.93151e-008
87  ,4.20568e-005  ,-1.90823e-005  ,-3.64938e-006  ,-5.87077e-006  ,3.03611e-006  ,2.54960e-008
88  ,1.28216e-004  ,-5.95341e-005  ,-7.64212e-006  ,-1.73426e-005  ,6.17955e-006  ,-3.85100e-007
89  ,1.45763e-006  ,-5.99665e-007  ,-3.41413e-008  ,-1.23590e-006  ,9.29225e-006  ,-4.59469e-007
90  ,1.28912e-004  ,-5.91117e-005  ,-7.62627e-006  ,-1.66336e-005  ,6.70425e-006  ,-2.21744e-007
91  ,4.21567e-005  ,-1.93684e-005  ,-3.61024e-006  ,-7.11352e-006  ,2.99062e-006  ,-3.75066e-007
92  ,-1.31468e-004  ,6.23778e-005  ,4.15498e-006  ,1.67862e-005  ,-3.21199e-006  ,1.86379e-007
93  ,-1.55828e-004  ,7.09478e-005  ,1.17242e-005  ,1.63511e-005  ,-9.22576e-006  ,4.48132e-007
94  ,-4.23224e-005  ,2.08541e-005  ,-2.74349e-007  ,5.33824e-006  ,1.03360e-007  ,1.94581e-007
95  ,4.07721e-005  ,-1.86902e-005  ,-3.15922e-006  ,-5.75306e-006  ,2.21992e-006  ,-7.99445e-008
96  ,4.10094e-005  ,-1.85436e-005  ,-3.44837e-006  ,-7.12054e-006  ,2.52439e-006  ,2.26448e-007
97  ,-1.26200e-004  ,6.08109e-005  ,2.52545e-006  ,1.69102e-005  ,-1.92568e-006  ,1.91250e-007
98  ,-3.08450e-005  ,9.74208e-006  ,9.85590e-006  ,5.23955e-006  ,1.64383e-005  ,-1.06831e-006
99  ,-3.62554e-005  ,1.81580e-005  ,-3.75481e-007  ,4.63935e-006  ,6.68958e-007  ,2.46979e-007
100  ,-4.27853e-005  ,2.14224e-005  ,-3.57062e-007  ,4.16394e-006  ,1.36264e-007  ,3.62270e-008
101  ,-1.25438e-004  ,5.96542e-005  ,3.61769e-006  ,1.65431e-005  ,-2.51609e-006  ,1.59797e-007
102  ,-4.17562e-006  ,2.49954e-006  ,-1.19575e-006  ,-4.99090e-007  ,-2.42410e-006  ,-4.78041e-008
103  ,-3.00950e-006  ,1.76935e-006  ,-2.10987e-007  ,-6.45280e-007  ,-2.27553e-006  ,8.96283e-008
104  ,7.60885e-005  ,-3.46661e-005  ,-5.31843e-006  ,-1.06689e-005  ,4.27555e-006  ,-1.98373e-007
105  ,7.01353e-005  ,-3.23965e-005  ,-4.22637e-006  ,-1.03018e-005  ,1.59627e-006  ,-7.86760e-008
106  ,-3.94729e-006  ,2.48784e-006  ,-1.29187e-006  ,-4.96941e-007  ,-2.63362e-006  ,1.46061e-008
107  ,-8.07415e-005  ,3.83861e-005  ,2.38914e-006  ,1.13462e-005  ,6.24004e-007  ,-8.45048e-008
108  ,-3.22000e-006  ,2.55955e-006  ,-1.68049e-006  ,-4.59961e-007  ,-9.23922e-007  ,-1.73302e-007
109  ,1.02675e-005  ,-6.66552e-006  ,2.94590e-006  ,-2.34987e-006  ,-4.58438e-007  ,1.01131e-007
110  ,-7.14133e-006  ,-1.11124e-006  ,9.45905e-006  ,-4.44678e-007  ,1.29155e-006  ,-2.16348e-007
111  ,-2.43395e-006  ,-2.56397e-006  ,7.29360e-006  ,-1.03422e-006  ,6.78183e-007  ,7.99434e-008
112  ,-1.60754e-005  ,2.18509e-006  ,1.20130e-005  ,2.14931e-006  ,2.53943e-006  ,-1.45139e-007
113  ,-1.55075e-005  ,1.39193e-006  ,1.21169e-005  ,1.94398e-006  ,2.57563e-006  ,-9.40215e-008
114  ,1.40572e-006  ,-3.64367e-006  ,6.26345e-006  ,-9.24766e-007  ,3.21797e-007  ,1.46884e-008
115  ,-3.62350e-007  ,-8.42739e-008  ,1.03940e-006  ,-1.24427e-006  ,3.99620e-006  ,4.86339e-008
116  ,-7.36614e-006  ,-1.20434e-006  ,9.23361e-006  ,2.61167e-007  ,1.63448e-006  ,-2.11226e-007
117  ,7.08977e-005  ,-3.07792e-005  ,-8.07526e-006  ,-1.10303e-005  ,7.15702e-006  ,2.05435e-007
118  ,1.44081e-004  ,-7.08381e-005  ,4.76355e-007  ,-5.35764e-006  ,-2.19002e-006  ,1.07170e-006
119  ,9.59753e-006  ,-6.17714e-006  ,3.37916e-006  ,-2.20725e-006  ,-6.24553e-007  ,-5.12065e-008
120  ,-7.35825e-005  ,3.88002e-005  ,-1.53789e-007  ,8.95501e-006  ,-1.05846e-006  ,1.60874e-007
121  ,7.80794e-005  ,-3.85530e-005  ,9.35442e-007  ,-7.53881e-007  ,2.47911e-006  ,-3.32977e-006
122  ,1.16184e-004  ,-5.38914e-005  ,-6.22061e-006  ,-1.04641e-005  ,5.28747e-006  ,-1.77603e-007
123  ,-7.51060e-005  ,3.65750e-005  ,1.14942e-006  ,-2.65385e-007  ,2.24644e-007  ,5.88389e-006
124  ,7.31739e-005  ,-9.33935e-006  ,7.97991e-007  ,2.22868e-006  ,3.86082e-007  ,2.21012e-006
125  ,-2.23134e-004  ,1.09113e-004  ,5.38008e-007  ,2.49429e-007  ,-2.73867e-006  ,-3.35788e-006
126  ,-7.43502e-005  ,3.26862e-005  ,1.97519e-006  ,-1.58779e-005  ,1.03741e-006  ,-1.83965e-006
127  ,7.59679e-005  ,-4.07961e-005  ,4.20255e-007  ,5.66709e-006  ,-4.83326e-007  ,-2.86181e-006
128  ,-2.20922e-004  ,1.10515e-004  ,-1.51299e-006  ,-1.82348e-007  ,3.27307e-007  ,1.11524e-006
129  ,5.11143e-005  ,-2.27294e-005  ,-5.83852e-006  ,-4.71028e-006  ,3.11815e-006  ,2.28083e-007
130  ,1.34460e-004  ,-6.65624e-005  ,8.35220e-007  ,-6.15844e-006  ,-7.13316e-007  ,3.26365e-008
131  ,-4.60579e-006  ,2.37719e-006  ,-4.44432e-008  ,-1.16128e-006  ,1.89492e-008  ,9.81949e-008
132  ,-3.99288e-006  ,2.21181e-006  ,-1.40345e-006  ,-4.87087e-007  ,-2.04181e-006  ,-2.79453e-007
133  ,4.95005e-005  ,-2.27751e-005  ,-4.43714e-006  ,-5.65072e-006  ,3.38493e-006  ,-5.67969e-008
134  ,1.53364e-004  ,-7.46413e-005  ,-1.20228e-007  ,-4.04780e-006  ,-4.97937e-006  ,9.20071e-007
135  ,1.27240e-004  ,-6.26284e-005  ,-4.99210e-008  ,-8.58887e-006  ,-4.67102e-007  ,-2.50936e-007
136  ,6.68126e-005  ,-2.81173e-005  ,-8.54325e-006  ,-1.13057e-005  ,-6.51058e-006  ,3.91400e-007
137  ,5.72279e-005  ,-2.56739e-005  ,-4.48997e-006  ,-1.02090e-005  ,1.62970e-006  ,-1.61927e-007
138  ,-2.21385e-006  ,2.20618e-007  ,1.31894e-006  ,-6.62966e-007  ,9.07809e-007  ,-7.57002e-008
139  ,5.71710e-005  ,-2.57470e-005  ,-4.28004e-006  ,-1.01557e-005  ,9.41811e-007  ,-1.03576e-007
140  ,2.56683e-005  ,-1.23341e-005  ,-9.76111e-007  ,-6.25435e-006  ,-2.24785e-006  ,-9.37166e-008
141  ,2.52442e-005  ,-1.15672e-005  ,-1.49245e-006  ,-4.76533e-006  ,-3.19917e-006  ,2.00008e-007
142  ,-1.03438e-004  ,3.64274e-005  ,2.97100e-005  ,7.31962e-006  ,1.51622e-005  ,-6.70946e-007
143  ,-8.58914e-005  ,2.95324e-005  ,2.64626e-005  ,8.84286e-006  ,9.46083e-007  ,-9.49927e-007
144  ,-4.48704e-006  ,1.84959e-006  ,1.66462e-007  ,-9.84531e-007  ,1.00748e-007  ,2.26995e-007
145  ,1.21239e-004  ,-5.97836e-005  ,3.70954e-007  ,-9.86473e-006  ,-1.31540e-007  ,-2.96494e-008
146  ,1.87053e-008  ,3.80189e-007  ,-6.52613e-007  ,-2.15721e-007  ,3.02358e-006  ,-4.88350e-006
147  ,1.42454e-004  ,-4.82634e-005  ,-4.41410e-005  ,-1.12569e-005  ,1.18220e-005  ,-4.52153e-007
148  ,2.22250e-005  ,-7.74959e-006  ,-7.31832e-006  ,-3.70889e-006  ,1.85577e-006  ,-1.83220e-008
149  ,6.05815e-006  ,-1.34860e-006  ,-2.64395e-006  ,-8.92466e-007  ,5.36215e-006  ,3.48311e-009
150  ,9.08101e-005  ,-2.97158e-005  ,-2.83140e-005  ,-1.19586e-005  ,1.29235e-006  ,-3.85879e-007
151  ,1.16126e-005  ,-4.46179e-006  ,-3.53619e-006  ,-1.43709e-006  ,-5.69635e-006  ,-3.62679e-007
152  ,8.37625e-005  ,-2.82972e-005  ,-2.50766e-005  ,-1.27270e-005  ,-9.19501e-007  ,-5.69654e-007
153  ,1.32645e-005  ,-4.08235e-006  ,-4.71804e-006  ,-2.26792e-006  ,-4.88699e-006  ,-3.32870e-008
154  ,4.64424e-006  ,-8.83886e-007  ,-2.46853e-006  ,-2.06000e-006  ,-7.85383e-007  ,-9.77684e-007
155  ,1.08875e-004  ,-4.08835e-005  ,-2.52633e-005  ,-1.10824e-005  ,-8.97910e-006  ,3.07712e-007
